Sr. No,"All India 
Merit",Choice Code,Course Name,"Exam(JEE/
MHT-CET)",Type,Seat Type,InstituteCode
264,11917 (79.3449592),314825210,Cyber Security,JEE(Main),AI to AI,AI,3148
,,,,,,,
265,11941 (79.3293659),319026310,Artificial Intelligence (AI) ,JEE(Main),AI to AI,AI,3190
,,,and Data Science,,,,
266,11974 (79.2728694),318799510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,3187
,,,Data Science,,,,
,,,,,,,
267,12012 (79.2314744),319224510,Computer Engineering,JEE(Main),AI to AI,AI,3192
268,12047 (79.1329317),413724210,Computer Science and ,JEE(Main),AI to AI,AI,4137
,,,Engineering,,,,
269,12095 (79.1253199),631124510,Computer Engineering,JEE(Main),AI to AI,AI,6311
,,,,,,,
270,12124 (79.0958179),516024610,Information Technology,JEE(Main),AI to AI,AI,5160
,,,,,,,
271,12127 (79.0958179),662299510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6622
,,,Data Science,,,,
272,12135 (79.0958179),110524210,Computer Science and ,JEE(Main),AI to AI,AI,1105
,,,Engineering,,,,
273,12148 (79.0814378),342324610,Information Technology,JEE(Main),AI to AI,AI,3423
274,12194 (78.9993247),416737210,Electronics and ,JEE(Main),AI to AI,AI,4167
,,,Telecommunication Engg,,,,
275,12201 (78.9783555),620399510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6203
,,,Data Science,,,,
276,12212 (78.9783555),617561210,Mechanical Engineering,JEE(Main),AI to AI,AI,6175
,,,,,,,
277,12247 (78.8694927),615637210,Electronics and ,JEE(Main),AI to AI,AI,6156
,,,Telecommunication Engg,,,,
278,12252 (78.8694927),414224610,Information Technology,JEE(Main),AI to AI,AI,4142
,,,,,,,
279,12288 (78.8471467),318391110,Computer Science and ,JEE(Main),AI to AI,AI,3183
,,,Engineering(Artificial ,,,,
280,12304 (78.8147915),615591710,Data Science,JEE(Main),AI to AI,AI,6155
,,,,,,,
281,12308 (78.8119396),613937210,Electronics and ,JEE(Main),AI to AI,AI,6139
,,,Telecommunication Engg,,,,
282,12344 (78.7662886),621491110,Computer Science and ,JEE(Main),AI to AI,AI,6214
,,,Engineering(Artificial ,,,,
283,12354 (78.7309550),319691210,Computer Science and ,JEE(Main),AI to AI,AI,3196
,,,Engineering(Data Science),,,,
284,12412 (78.6148691),517292110,Artificial Intelligence and ,JEE(Main),AI to AI,AI,5172
,,,Machine Learning,,,,
285,12420 (78.6148691),617924510,Computer Engineering,JEE(Main),AI to AI,AI,6179
286,12516 (78.4846750),620324510,Computer Engineering,JEE(Main),AI to AI,AI,6203
287,12521 (78.4846750),627646450F,Instrumentation and ,JEE(Main),AI to AI,AI,6276
,,,Control Engineering,,,,
288,12573 (78.4224527),516291610,Automation and Robotics,JEE(Main),AI to AI,AI,5162
,,,,,,,
289,12600 (78.3994756),411699710,Artificial Intelligence,JEE(Main),AI to AI,AI,4116
290,12616 (78.3768269),110137210,Electronics and ,JEE(Main),AI to AI,AI,1101
,,,Telecommunication Engg,,,,
291,12636 (78.3768269),510824610,Information Technology,JEE(Main),AI to AI,AI,5108
,,,,,,,
292,12800 (78.0741227),515124510,Computer Engineering,JEE(Main),AI to AI,AI,5151
,,,,,,,
293,12811 (78.0577829),676924510,Computer Engineering,JEE(Main),AI to AI,AI,6769
294,12895 (77.9337219),318392010,Computer Science and ,JEE(Main),AI to AI,AI,3183
,,,Engineering (Internet of ,,,,
,,,,,,,
295,12912 (77.8998344),321137210,Electronics and ,JEE(Main),AI to AI,AI,3211
,,,Telecommunication Engg,,,,
296,12947 (77.8836864),411637210,Electronics and ,JEE(Main),AI to AI,AI,4116
,,,Telecommunication Engg,,,,
297,13015 (77.7701225),319692010,Computer Science and ,JEE(Main),AI to AI,AI,3196
,,,Engineering (Internet of ,,,,
298,13050 (77.6945641),625024210,Computer Science and ,JEE(Main),AI to AI,AI,6250
,,,Engineering,,,,
299,13065 (77.6630229),628961210,Mechanical Engineering,JEE(Main),AI to AI,AI,6289
,,,,,,,
300,13085 (77.6130782),515199510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,5151
,,,Data Science,,,,
301,13093 (77.6130782),412324610,Information Technology,JEE(Main),AI to AI,AI,4123
,,,,,,,
302,13099 (77.6130782),315424510,Computer Engineering,JEE(Main),AI to AI,AI,3154
,,,,,,,
303,13145 (77.5834658),430424550F,Computer Engineering,JEE(Main),AI to AI,AI,4304
,,,,,,,
304,13282 (77.3747734),629824510,Computer Engineering,JEE(Main),AI to AI,AI,6298
,,,,,,,
305,13288 (77.3747734),617737210,Electronics and ,JEE(Main),AI to AI,AI,6177
,,,Telecommunication Engg,,,,
306,13332 (77.3660514),618724610,Information Technology,JEE(Main),AI to AI,AI,6187
,,,,,,,
307,13342 (77.3614511),628137210,Electronics and ,JEE(Main),AI to AI,AI,6281
,,,Telecommunication Engg,,,,
308,13375 (77.3507329),416737610,Electronics Engineering,JEE(Main),AI to AI,AI,4167
,,,,,,,
309,13400 (77.2561123),512137210,Electronics and ,JEE(Main),AI to AI,AI,5121
,,,Telecommunication Engg,,,,
310,13411 (77.2095590),313937210,Electronics and ,JEE(Main),AI to AI,AI,3139
,,,Telecommunication Engg,,,,
311,13441 (77.1699024),346024510,Computer Engineering,JEE(Main),AI to AI,AI,3460
312,13454 (77.1230400),627221910,Robotics and Automation,JEE(Main),AI to AI,AI,6272
313,13479 (77.0486176),417437210,Electronics and ,JEE(Main),AI to AI,AI,4174
,,,Telecommunication Engg,,,,
314,13490 (77.0486176),628499510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6284
,,,Data Science,,,,
315,13510 (77.0323097),417724610,Information Technology,JEE(Main),AI to AI,AI,4177
,,,,,,,
316,13530 (77.0252694),414291710,Data Science,JEE(Main),AI to AI,AI,4142
,,,,,,,
317,13633 (76.9236881),342390010,Electronics and Computer ,JEE(Main),AI to AI,AI,3423
,,,Science,,,,
318,13655 (76.9001444),679637210,Electronics and ,JEE(Main),AI to AI,AI,6796
,,,Telecommunication Engg,,,,
319,13673 (76.9001444),620624510,Computer Engineering,JEE(Main),AI to AI,AI,6206
320,13677 (76.9001444),627821910,Robotics and Automation,JEE(Main),AI to AI,AI,6278
321,13784 (76.8183436),318824610,Information Technology,JEE(Main),AI to AI,AI,3188
,,,,,,,
322,13843 (76.6647917),413824210,Computer Science and ,JEE(Main),AI to AI,AI,4138
,,,Engineering,,,,
,,,,,,,
323,13879 (76.5738858),627350710,Chemical Engineering,JEE(Main),AI to AI,AI,6273
,,,,,,,
324,13943 (76.5233284),347591110,Computer Science and ,JEE(Main),AI to AI,AI,3475
,,,Engineering(Artificial ,,,,
325,13976 (76.4392986),676924610,Information Technology,JEE(Main),AI to AI,AI,6769
326,13979 (76.4392986),211324210,Computer Science and ,JEE(Main),AI to AI,AI,2113
,,,Engineering,,,,
327,13983 (76.4392986),321824510,Computer Engineering,JEE(Main),AI to AI,AI,3218
,,,,,,,
328,14032 (76.4110748),630724510,Computer Engineering,JEE(Main),AI to AI,AI,6307
,,,,,,,
329,14082 (76.3995506),627661250F,Mechanical Engineering,JEE(Main),AI to AI,AI,6276
330,14111 (76.3547766),630724610,Information Technology,JEE(Main),AI to AI,AI,6307
,,,,,,,
331,14120 (76.3383652),414237210,Electronics and ,JEE(Main),AI to AI,AI,4142
,,,Telecommunication Engg,,,,
332,14124 (76.3383652),319691110,Computer Science and ,JEE(Main),AI to AI,AI,3196
,,,Engineering(Artificial ,,,,
333,14147 (76.3198731),615537210,Electronics and ,JEE(Main),AI to AI,AI,6155
,,,Telecommunication Engg,,,,
334,14174 (76.2279162),518124510,Computer Engineering,JEE(Main),AI to AI,AI,5181
,,,,,,,
335,14186 (76.1514938),617999510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6179
,,,Data Science,,,,
336,14206 (76.0738381),412325110,Computer Technology,JEE(Main),AI to AI,AI,4123
,,,,,,,
,,,,,,,
337,14213 (76.0738381),626584410,Electronics and Computer ,JEE(Main),AI to AI,AI,6265
,,,Engineering,,,,
338,14269 (76.0159176),631037210,Electronics and ,JEE(Main),AI to AI,AI,6310
,,,Telecommunication Engg,,,,
339,14285 (75.9789853),673299510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6732
,,,Data Science,,,,
340,14304 (75.9386248),414299710,Artificial Intelligence,JEE(Main),AI to AI,AI,4142
,,,,,,,
341,14356 (75.9177440),211399510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,2113
,,,Data Science,,,,
342,14370 (75.9069227),618524510,Computer Engineering,JEE(Main),AI to AI,AI,6185
343,14379 (75.9069227),631124610,Information Technology,JEE(Main),AI to AI,AI,6311
,,,,,,,
344,14431 (75.8853836),417426510,Industrial IoT,JEE(Main),AI to AI,AI,4174
345,14471 (75.8226305),614924510,Computer Engineering,JEE(Main),AI to AI,AI,6149
346,14484 (75.8046135),318826310,Artificial Intelligence (AI) ,JEE(Main),AI to AI,AI,3188
,,,and Data Science,,,,
347,14587 (75.7139497),319292010,Computer Science and ,JEE(Main),AI to AI,AI,3192
,,,Engineering (Internet of ,,,,
348,14595 (75.6959612),319637210,Electronics and ,JEE(Main),AI to AI,AI,3196
,,,Telecommunication Engg,,,,
349,14600 (75.6959612),413726310,Artificial Intelligence (AI) ,JEE(Main),AI to AI,AI,4137
,,,and Data Science,,,,
350,14726 (75.4137079),315424610,Information Technology,JEE(Main),AI to AI,AI,3154
,,,,,,,
,,,,,,,
351,14767 (75.3583840),614637610,Electronics Engineering,JEE(Main),AI to AI,AI,6146
352,14826 (75.3292759),626737210,Electronics and ,JEE(Main),AI to AI,AI,6267
,,,Telecommunication Engg,,,,
353,14836 (75.3292759),412399510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,4123
,,,Data Science,,,,
354,15016 (75.1074313),322324610,Information Technology,JEE(Main),AI to AI,AI,3223
,,,,,,,
355,15027 (75.1074313),110524610,Information Technology,JEE(Main),AI to AI,AI,1105
356,15058 (75.0852228),629824610,Information Technology,JEE(Main),AI to AI,AI,6298
,,,,,,,
357,15086 (75.0506495),411637610,Electronics Engineering,JEE(Main),AI to AI,AI,4116
358,15144 (74.9516908),413699710,Artificial Intelligence,JEE(Main),AI to AI,AI,4136
,,,,,,,
359,15170 (74.8574546),618424510,Computer Engineering,JEE(Main),AI to AI,AI,6184
,,,,,,,
360,15233 (74.7612807),417724210,Computer Science and ,JEE(Main),AI to AI,AI,4177
,,,Engineering,,,,
361,15256 (74.7196720),622024210,Computer Science and ,JEE(Main),AI to AI,AI,6220
,,,Engineering,,,,
362,15325 (74.5853213),662292110,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6622
,,,Machine Learning,,,,
363,15347 (74.5720980),317524510,Computer Engineering,JEE(Main),AI to AI,AI,3175
,,,,,,,
364,15348 (74.5720980),625091210,Computer Science and ,JEE(Main),AI to AI,AI,6250
,,,Engineering(Data Science),,,,
,,,,,,,
365,15446 (74.4445490),618524610,Information Technology,JEE(Main),AI to AI,AI,6185
366,15482 (74.3956216),110729310,Electrical Engineering,JEE(Main),AI to AI,AI,1107
,,,,,,,
367,15493 (74.3956216),663424510,Computer Engineering,JEE(Main),AI to AI,AI,6634
368,15510 (74.3752227),620719110,Civil Engineering,JEE(Main),AI to AI,AI,6207
,,,,,,,
369,15529 (74.3752227),679424510,Computer Engineering,JEE(Main),AI to AI,AI,6794
370,15540 (74.3289272),679424610,Information Technology,JEE(Main),AI to AI,AI,6794
371,15543 (74.3289272),347124510,Computer Engineering,JEE(Main),AI to AI,AI,3471
372,15643 (74.2677175),212724210,Computer Science and ,JEE(Main),AI to AI,AI,2127
,,,Engineering,,,,
373,15661 (74.2099898),516284410,Electronics and Computer ,JEE(Main),AI to AI,AI,5162
,,,Engineering,,,,
374,15709 (74.1052173),620624610,Information Technology,JEE(Main),AI to AI,AI,6206
375,15717 (74.0578457),314624610,Information Technology,JEE(Main),AI to AI,AI,3146
,,,,,,,
376,15750 (74.0184145),622291310,Computer Science and ,JEE(Main),AI to AI,AI,6222
,,,Engineering (Artificial ,,,,
377,15872 (73.8108510),628919110,Civil Engineering,JEE(Main),AI to AI,AI,6289
,,,,,,,
378,15874 (73.8108510),513924610,Information Technology,JEE(Main),AI to AI,AI,5139
,,,,,,,
379,15876 (73.8103618),641924210,Computer Science and ,JEE(Main),AI to AI,AI,6419
,,,Engineering,,,,
380,15960 (73.6966054),253324210,Computer Science and ,JEE(Main),AI to AI,AI,2533
,,,Engineering,,,,
381,15965 (73.6966054),625091110,Computer Science and ,JEE(Main),AI to AI,AI,6250
,,,Engineering(Artificial ,,,,
382,15967 (73.6966054),322124510,Computer Engineering,JEE(Main),AI to AI,AI,3221
,,,,,,,
383,16000 (73.6966054),613824510,Computer Engineering,JEE(Main),AI to AI,AI,6138
,,,,,,,
384,16029 (73.6950743),317524610,Information Technology,JEE(Main),AI to AI,AI,3175
,,,,,,,
385,16066 (73.6899107),677024510,Computer Engineering,JEE(Main),AI to AI,AI,6770
386,16100 (73.6857725),320190010,Electronics and Computer ,JEE(Main),AI to AI,AI,3201
,,,Science,,,,
387,16168 (73.4919185),510837210,Electronics and ,JEE(Main),AI to AI,AI,5108
,,,Telecommunication Engg,,,,
388,16214 (73.4269663),516237210,Electronics and ,JEE(Main),AI to AI,AI,5162
,,,Telecommunication Engg,,,,
389,16237 (73.4269663),629899510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6298
,,,Data Science,,,,
390,16240 (73.4269663),516124510,Computer Engineering,JEE(Main),AI to AI,AI,5161
391,16283 (73.4250607),413792110,Artificial Intelligence and ,JEE(Main),AI to AI,AI,4137
,,,Machine Learning,,,,
392,16298 (73.4250607),464924510,Computer Engineering,JEE(Main),AI to AI,AI,4649
,,,,,,,
393,16317 (73.3861677),510324510,Computer Engineering,JEE(Main),AI to AI,AI,5103
,,,,,,,
394,16428 (73.1556918),632524510,Computer Engineering,JEE(Main),AI to AI,AI,6325
,,,,,,,
395,16433 (73.1492704),630324210,Computer Science and ,JEE(Main),AI to AI,AI,6303
,,,Engineering,,,,
396,16474 (73.1388971),683424510,Computer Engineering,JEE(Main),AI to AI,AI,6834
397,16508 (73.0841649),213424210,Computer Science and ,JEE(Main),AI to AI,AI,2134
,,,Engineering,,,,
398,16552 (73.0292575),541824510,Computer Engineering,JEE(Main),AI to AI,AI,5418
399,16665 (72.8629940),414537210,Electronics and ,JEE(Main),AI to AI,AI,4145
,,,Telecommunication Engg,,,,
400,16721 (72.7863187),620791610,Automation and Robotics,JEE(Main),AI to AI,AI,6207
,,,,,,,
401,16861 (72.5020283),320737210,Electronics and ,JEE(Main),AI to AI,AI,3207
,,,Telecommunication Engg,,,,
402,16901 (72.4566067),614537210,Electronics and ,JEE(Main),AI to AI,AI,6145
,,,Telecommunication Engg,,,,
403,16928 (72.4460444),320437210,Electronics and ,JEE(Main),AI to AI,AI,3204
,,,Telecommunication Engg,,,,
404,16934 (72.4369800),628537250F,Electronics and ,JEE(Main),AI to AI,AI,6285
,,,Telecommunication Engg,,,,
405,16943 (72.4369800),617837210,Electronics and ,JEE(Main),AI to AI,AI,6178
,,,Telecommunication Engg,,,,
406,16992 (72.4095453),510924510,Computer Engineering,JEE(Main),AI to AI,AI,5109
,,,,,,,
,,,,,,,
407,17070 (72.2971286),677024610,Information Technology,JEE(Main),AI to AI,AI,6770
408,17075 (72.2971286),515137210,Electronics and ,JEE(Main),AI to AI,AI,5151
,,,Telecommunication Engg,,,,
409,17077 (72.2971286),614191610,Automation and Robotics,JEE(Main),AI to AI,AI,6141
,,,,,,,
410,17237 (71.9697231),203290410,Chemical Engineering,JEE(Main),AI to AI,AI,2032
,,,,,,,
411,17262 (71.9490896),662237210,Electronics and ,JEE(Main),AI to AI,AI,6622
,,,Telecommunication Engg,,,,
412,17269 (71.9490896),679499510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6794
,,,Data Science,,,,
413,17312 (71.8979477),225024210,Computer Science and ,JEE(Main),AI to AI,AI,2250
,,,Engineering,,,,
414,17317 (71.8979477),622399510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6223
,,,Data Science,,,,
415,17330 (71.8704068),627829310,Electrical Engineering,JEE(Main),AI to AI,AI,6278
416,17377 (71.8092742),313537210,Electronics and ,JEE(Main),AI to AI,AI,3135
,,,Telecommunication Engg,,,,
417,17460 (71.7962825),628437210,Electronics and ,JEE(Main),AI to AI,AI,6284
,,,Telecommunication Engg,,,,
418,17500 (71.6768028),413737210,Electronics and ,JEE(Main),AI to AI,AI,4137
,,,Telecommunication Engg,,,,
419,17505 (71.6768028),663424610,Information Technology,JEE(Main),AI to AI,AI,6634
420,17535 (71.6443190),533124510,Computer Engineering,JEE(Main),AI to AI,AI,5331
,,,,,,,
,,,,,,,
421,17558 (71.6090696),212724610,Information Technology,JEE(Main),AI to AI,AI,2127
422,17619 (71.5223260),618237210,"Electronics and 
Telecommunication Engg",JEE(Main),AI to AI,AI,6182
423,17643 (71.5223260),621437210,Electronics and ,JEE(Main),AI to AI,AI,6214
,,,Telecommunication Engg,,,,
424,17682 (71.5182127),319291110,Computer Science and ,JEE(Main),AI to AI,AI,3192
,,,Engineering(Artificial ,,,,
425,17721 (71.4344110),111424210,Computer Science and ,JEE(Main),AI to AI,AI,1114
,,,Engineering,,,,
426,17740 (71.4344110),622226310,Artificial Intelligence (AI) ,JEE(Main),AI to AI,AI,6222
,,,and Data Science,,,,
427,17744 (71.4344110),544961210,Mechanical Engineering,JEE(Main),AI to AI,AI,5449
428,17747 (71.4344110),314699510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,3146
,,,Data Science,,,,
429,17799 (71.2972861),613824610,Information Technology,JEE(Main),AI to AI,AI,6138
,,,,,,,
430,17806 (71.2972861),518137210,Electronics and ,JEE(Main),AI to AI,AI,5181
,,,Telecommunication Engg,,,,
431,17863 (71.2049310),112729310,Electrical Engineering,JEE(Main),AI to AI,AI,1127
432,18004 (70.9683908),416735610,Electrical Engg[Electronics ,JEE(Main),AI to AI,AI,4167
,,,and Power],,,,
433,18077 (70.9219412),614424510,Computer Engineering,JEE(Main),AI to AI,AI,6144
434,18097 (70.9219412),664024210,Computer Science and ,JEE(Main),AI to AI,AI,6640
,,,Engineering,,,,
,,,,,,,
435,18132 (70.8941213),627524510,Computer Engineering,JEE(Main),AI to AI,AI,6275
,,,,,,,
436,18173 (70.8021642),614424610,Information Technology,JEE(Main),AI to AI,AI,6144
437,18216 (70.7224394),112024210,Computer Science and ,JEE(Main),AI to AI,AI,1120
,,,Engineering,,,,
438,18219 (70.7224394),112824210,Computer Science and ,JEE(Main),AI to AI,AI,1128
,,,Engineering,,,,
439,18226 (70.7224394),411629310,Electrical Engineering,JEE(Main),AI to AI,AI,4116
440,18242 (70.6819600),620729310,Electrical Engineering,JEE(Main),AI to AI,AI,6207
,,,,,,,
441,18259 (70.6819600),510924610,Information Technology,JEE(Main),AI to AI,AI,5109
,,,,,,,
442,18261 (70.6819600),628229310,Electrical Engineering,JEE(Main),AI to AI,AI,6282
,,,,,,,
443,18264 (70.6819600),347199510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,3471
,,,Data Science,,,,
444,18294 (70.6328403),629821910,Robotics and Automation,JEE(Main),AI to AI,AI,6298
,,,,,,,
445,18374 (70.6009947),315491210,Computer Science and ,JEE(Main),AI to AI,AI,3154
,,,Engineering(Data Science),,,,
446,18381 (70.6009947),126524610,Information Technology,JEE(Main),AI to AI,AI,1265
,,,,,,,
447,18384 (70.6009947),320091110,Computer Science and ,JEE(Main),AI to AI,AI,3200
,,,Engineering(Artificial ,,,,
448,18426 (70.5913776),314890010,Electronics and Computer ,JEE(Main),AI to AI,AI,3148
,,,Science,,,,
,,,,,,,
449,18447 (70.5353372),677237210,Electronics and ,JEE(Main),AI to AI,AI,6772
,,,Telecommunication Engg,,,,
450,18486 (70.4515050),641991310,Computer Science and ,JEE(Main),AI to AI,AI,6419
,,,Engineering (Artificial ,,,,
451,18499 (70.4038266),512129310,Electrical Engineering,JEE(Main),AI to AI,AI,5121
452,18590 (70.0909705),317619110,Civil Engineering,JEE(Main),AI to AI,AI,3176
453,18684 (70.0448751),413924210,Computer Science and ,JEE(Main),AI to AI,AI,4139
,,,Engineering,,,,
454,18688 (70.0448751),417429310,Electrical Engineering,JEE(Main),AI to AI,AI,4174
455,18702 (70.0448751),416324210,Computer Science and ,JEE(Main),AI to AI,AI,4163
,,,Engineering,,,,
456,18703 (70.0448751),212924210,Computer Science and ,JEE(Main),AI to AI,AI,2129
,,,Engineering,,,,
457,18749 (69.9760600),321890010,Electronics and Computer ,JEE(Main),AI to AI,AI,3218
,,,Science,,,,
458,18780 (69.9669902),430437250F,Electronics and ,JEE(Main),AI to AI,AI,4304
,,,Telecommunication Engg,,,,
459,18936 (69.7216501),512524610,Information Technology,JEE(Main),AI to AI,AI,5125
,,,,,,,
460,18944 (69.7216501),627429310,Electrical Engineering,JEE(Main),AI to AI,AI,6274
,,,,,,,
461,18988 (69.7132144),618424610,Information Technology,JEE(Main),AI to AI,AI,6184
,,,,,,,
462,19001 (69.7132144),682261210,Mechanical Engineering,JEE(Main),AI to AI,AI,6822
,,,,,,,
,,,,,,,
463,19006 (69.7064810),683426310,Artificial Intelligence (AI) ,JEE(Main),AI to AI,AI,6834
,,,and Data Science,,,,
464,19022 (69.6618856),319324510,Computer Engineering,JEE(Main),AI to AI,AI,3193
465,19105 (69.5038322),614499510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6144
,,,Data Science,,,,
466,19196 (69.2869463),315491110,Computer Science and ,JEE(Main),AI to AI,AI,3154
,,,Engineering(Artificial ,,,,
467,19217 (69.2571785),675537210,Electronics and ,JEE(Main),AI to AI,AI,6755
,,,Telecommunication Engg,,,,
468,19257 (69.2495883),524425710,Computer Science and ,JEE(Main),AI to AI,AI,5244
,,,Design,,,,
469,19264 (69.2368041),319324610,Information Technology,JEE(Main),AI to AI,AI,3193
470,19271 (69.2368041),612237210,Electronics and ,JEE(Main),AI to AI,AI,6122
,,,Telecommunication Engg,,,,
471,19304 (69.1978358),517337210,Electronics and ,JEE(Main),AI to AI,AI,5173
,,,Telecommunication Engg,,,,
472,19313 (69.1705476),628824210,Computer Science and ,JEE(Main),AI to AI,AI,6288
,,,Engineering,,,,
473,19317 (69.1705476),628324210,Computer Science and ,JEE(Main),AI to AI,AI,6283
,,,Engineering,,,,
474,19390 (69.1696638),314692010,Computer Science and ,JEE(Main),AI to AI,AI,3146
,,,Engineering (Internet of ,,,,
475,19392 (69.1696638),533024510,Computer Engineering,JEE(Main),AI to AI,AI,5330
,,,,,,,
476,19466 (69.0561130),663224510,Computer Engineering,JEE(Main),AI to AI,AI,6632
,,,,,,,
477,19528 (68.9280109),110526310,Artificial Intelligence (AI) ,JEE(Main),AI to AI,AI,1105
,,,and Data Science,,,,
478,19574 (68.9183955),412300210,Aeronautical Engineering,JEE(Main),AI to AI,AI,4123
,,,,,,,
479,19587 (68.9183955),513984410,Electronics and Computer ,JEE(Main),AI to AI,AI,5139
,,,Engineering,,,,
480,19591 (68.9183955),676824510,Computer Engineering,JEE(Main),AI to AI,AI,6768
481,19612 (68.9183955),627524610,Information Technology,JEE(Main),AI to AI,AI,6275
,,,,,,,
482,19626 (68.9183955),412326610,Robotics and Artificial ,JEE(Main),AI to AI,AI,4123
,,,Intelligence,,,,
483,19687 (68.8260625),515291310,Computer Science and ,JEE(Main),AI to AI,AI,5152
,,,Engineering (Artificial ,,,,
484,19749 (68.7075097),515224610,Information Technology,JEE(Main),AI to AI,AI,5152
485,19752 (68.6744164),413891210,Computer Science and ,JEE(Main),AI to AI,AI,4138
,,,Engineering(Data Science),,,,
486,19850 (68.5088700),632024510,Computer Engineering,JEE(Main),AI to AI,AI,6320
,,,,,,,
487,19904 (68.4921195),510999510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,5109
,,,Data Science,,,,
488,19917 (68.4742359),516124610,Information Technology,JEE(Main),AI to AI,AI,5161
489,19919 (68.4742359),319729310,Electrical Engineering,JEE(Main),AI to AI,AI,3197
,,,,,,,
490,19928 (68.4742359),414724210,Computer Science and ,JEE(Main),AI to AI,AI,4147
,,,Engineering,,,,
,,,,,,,
491,20040 (68.3121303),620746610,Instrumentation ,JEE(Main),AI to AI,AI,6207
,,,Engineering,,,,
492,20053 (68.3072115),417224210,Computer Science and ,JEE(Main),AI to AI,AI,4172
,,,Engineering,,,,
493,20066 (68.3072115),620362410,Mechatronics Engineering,JEE(Main),AI to AI,AI,6203
494,20097 (68.3072115),626824210,Computer Science and ,JEE(Main),AI to AI,AI,6268
,,,Engineering,,,,
495,20123 (68.2756840),673237210,Electronics and ,JEE(Main),AI to AI,AI,6732
,,,Telecommunication Engg,,,,
496,20178 (68.2121493),618737210,Electronics and ,JEE(Main),AI to AI,AI,6187
,,,Telecommunication Engg,,,,
497,20235 (68.0592802),616037210,Electronics and ,JEE(Main),AI to AI,AI,6160
,,,Telecommunication Engg,,,,
498,20252 (67.9579868),414724610,Information Technology,JEE(Main),AI to AI,AI,4147
499,20289 (67.9579868),618537210,Electronics and ,JEE(Main),AI to AI,AI,6185
,,,Telecommunication Engg,,,,
500,20322 (67.9463171),515224210,Computer Science and ,JEE(Main),AI to AI,AI,5152
,,,Engineering,,,,
501,20379 (67.8799703),211325710,Computer Science and ,JEE(Main),AI to AI,AI,2113
,,,Design,,,,
502,20449 (67.7739163),515291110,Computer Science and ,JEE(Main),AI to AI,AI,5152
,,,Engineering(Artificial ,,,,
503,20475 (67.7333701),615529310,Electrical Engineering,JEE(Main),AI to AI,AI,6155
504,20488 (67.7060203),632624210,Computer Science and ,JEE(Main),AI to AI,AI,6326
,,,Engineering,,,,
,,,,,,,
505,20502 (67.7060203),676937210,Electronics and ,JEE(Main),AI to AI,AI,6769
,,,Telecommunication Engg,,,,
506,20521 (67.7060203),346092110,Artificial Intelligence and ,JEE(Main),AI to AI,AI,3460
,,,Machine Learning,,,,
507,20527 (67.6700593),625037210,Electronics and ,JEE(Main),AI to AI,AI,6250
,,,Telecommunication Engg,,,,
508,20533 (67.6597942),626537210,Electronics and ,JEE(Main),AI to AI,AI,6265
,,,Telecommunication Engg,,,,
509,20535 (67.6425512),211326310,Artificial Intelligence (AI) ,JEE(Main),AI to AI,AI,2113
,,,and Data Science,,,,
510,20548 (67.5603887),111424610,Information Technology,JEE(Main),AI to AI,AI,1114
,,,,,,,
511,20557 (67.5497615),413991110,Computer Science and ,JEE(Main),AI to AI,AI,4139
,,,Engineering(Artificial ,,,,
512,20584 (67.5072532),517724510,Computer Engineering,JEE(Main),AI to AI,AI,5177
513,20657 (67.4549777),620637210,Electronics and ,JEE(Main),AI to AI,AI,6206
,,,Telecommunication Engg,,,,
514,20660 (67.4457860),664937210,Electronics and ,JEE(Main),AI to AI,AI,6649
,,,Telecommunication Engg,,,,
515,20671 (67.4336703),412337210,Electronics and ,JEE(Main),AI to AI,AI,4123
,,,Telecommunication Engg,,,,
516,20825 (67.1729008),318461210,Mechanical Engineering,JEE(Main),AI to AI,AI,3184
517,20857 (67.1097797),314837210,Electronics and ,JEE(Main),AI to AI,AI,3148
,,,Telecommunication Engg,,,,
518,21023 (67.0090297),416761210,Mechanical Engineering,JEE(Main),AI to AI,AI,4167
,,,,,,,
519,21072 (67.0090297),318337210,Electronics and ,JEE(Main),AI to AI,AI,3183
,,,Telecommunication Engg,,,,
520,21121 (66.8593974),664324210,Computer Science and ,JEE(Main),AI to AI,AI,6643
,,,Engineering,,,,
521,21207 (66.8015915),614492110,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6144
,,,Machine Learning,,,,
522,21227 (66.7705810),512524510,Computer Engineering,JEE(Main),AI to AI,AI,5125
,,,,,,,
