Sr. No,"All India 
Merit",Institute Code,Choice Code,Course Name,"Exam(JEE/
MHT-CET)",Type,Seat Type
21,2328 (94.3627140),6276,627624550F,Computer Engineering,JEE(Main),AI to AI,AI
22,2445 (94.1281121),6271,627137210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
23,2469 (94.0939377),3182,318224610,Information Technology,JEE(Main),AI to AI,AI
24,2477 (94.0725434),6273,627399510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
25,2584 (93.8827577),3209,320924510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
26,2602 (93.8599269),6175,617524610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
27,2659 (93.7583770),6175,617591110,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering(Artificial ,,,
28,2667 (93.7370888),3185,318524510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
,,,,,,,
,,,,,,,
29,2684 (93.7199681),4115,411591110,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering(Artificial ,,,
30,2709 (93.6765974),3036,303651310,Pharmaceuticals ,JEE(Main),AI to AI,AI
,,,,Chemistry and Technology,,,
31,2729 (93.6484519),3036,303651910,Polymer Engineering and ,JEE(Main),AI to AI,AI
,,,,Technology,,,
32,2759 (93.5868642),6276,627624650F,Information Technology,JEE(Main),AI to AI,AI
33,2898 (93.3416197),4115,411591210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering(Data Science),,,
34,2913 (93.3183255),6289,628924510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
35,2969 (93.2156513),3209,320924610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
36,3017 (93.1304901),3199,319937210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
37,3093 (93.0359960),6274,627424510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
38,3263 (92.6975764),4115,411591010,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering(Cyber ,,,
39,3286 (92.6442557),3185,318599510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
40,3506 (92.2702413),3182,318299510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
41,3706 (91.8893595),6289,628924610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
42,3832 (91.7166395),3197,319724510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
,,,,,,,
,,,,,,,
43,3887 (91.6290049),3199,319961210,Mechanical Engineering,JEE(Main),AI to AI,AI
,,,,,,,
44,3929 (91.5785599),3208,320824510,Computer Engineering,JEE(Main),AI to AI,AI
45,3966 (91.4836219),3036,303651210,"Oil,Oleochemicals and ",JEE(Main),AI to AI,AI
,,,,Surfactants Technology,,,
46,4003 (91.4375415),3209,320999510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
47,4154 (91.2397427),6272,627224510,Computer Engineering,JEE(Main),AI to AI,AI
48,4194 (91.1377630),3185,318524610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
49,4210 (91.0998478),3182,318250710,Chemical Engineering,JEE(Main),AI to AI,AI
50,4264 (91.0219434),6273,627337210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
51,4310 (90.9521182),6274,627424610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
52,4359 (90.8345560),3184,318424510,Computer Engineering,JEE(Main),AI to AI,AI
53,4410 (90.7772674),3176,317624510,Computer Engineering,JEE(Main),AI to AI,AI
54,4606 (90.4178402),3036,303651110,Dyestuff Technology,JEE(Main),AI to AI,AI
55,4631 (90.3916949),6796,679624510,Computer Engineering,JEE(Main),AI to AI,AI
56,4639 (90.3758504),6289,628999510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
,,,,,,,
,,,,,,,
57,4643 (90.3758504),3139,313924510,Computer Engineering,JEE(Main),AI to AI,AI
58,4644 (90.3758504),3197,319724610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
59,4648 (90.3736999),6822,682224510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
60,4906 (89.8964820),6796,679661210,Mechanical Engineering,JEE(Main),AI to AI,AI
61,5059 (89.6466028),3184,318499510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
62,5203 (89.4074739),6754,675424510,Computer Engineering,JEE(Main),AI to AI,AI
63,5286 (89.3488386),6276,627637250F,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
64,5348 (89.2068473),3176,317624610,Information Technology,JEE(Main),AI to AI,AI
65,5383 (89.1496745),6278,627824510,Computer Engineering,JEE(Main),AI to AI,AI
66,5458 (89.0574474),4174,417424510,Computer Engineering,JEE(Main),AI to AI,AI
67,5537 (88.9251993),3036,303672910,Surface Coating ,JEE(Main),AI to AI,AI
,,,,Technology,,,
68,5674 (88.6844191),3214,321424510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
69,5705 (88.6331671),6272,627224610,Information Technology,JEE(Main),AI to AI,AI
70,5728 (88.6009530),6207,620724510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
,,,,,,,
,,,,,,,
71,5766 (88.5426907),3176,317691010,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering(Cyber ,,,
72,5791 (88.5079344),6141,614124510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
73,5864 (88.3876370),6207,620724610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
74,6061 (88.0881172),3209,320937210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
75,6071 (88.0411726),6282,628224510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
76,6072 (88.0411726),6146,614624510,Computer Engineering,JEE(Main),AI to AI,AI
77,6134 (87.9640285),3176,317692110,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Machine Learning,,,
78,6267 (87.7674602),6274,627499510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
79,6393 (87.5215506),3139,313924610,Information Technology,JEE(Main),AI to AI,AI
80,6442 (87.4643722),6139,613924510,Computer Engineering,JEE(Main),AI to AI,AI
81,6488 (87.4052791),4115,411537010,Electronics and ,JEE(Main),AI to AI,AI
,,,,Communication ,,,
82,6506 (87.3883291),6175,617537210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
83,6523 (87.3852454),3176,317699510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
84,6533 (87.3294447),6175,617527110,Computer Engineering ,JEE(Main),AI to AI,AI
,,,,(Regional Language),,,
,,,,,,,
,,,,,,,
85,6591 (87.2281416),3182,318237210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
86,6627 (87.1972574),6802,680224510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
87,6639 (87.1913018),6754,675424610,Information Technology,JEE(Main),AI to AI,AI
88,6733 (87.0442223),6177,617724510,Computer Engineering,JEE(Main),AI to AI,AI
89,6742 (87.0338405),3211,321124510,Computer Engineering,JEE(Main),AI to AI,AI
90,6817 (86.9189939),4167,416724210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
91,6834 (86.9133939),6282,628224610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
92,6863 (86.8690692),3189,318924510,Computer Engineering,JEE(Main),AI to AI,AI
93,6885 (86.8246064),6272,627299510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
94,7123 (86.4146104),6289,628937210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
95,7290 (86.1442951),3208,320824610,Information Technology,JEE(Main),AI to AI,AI
96,7383 (85.9336104),3036,303651410,Fibres and Textile ,JEE(Main),AI to AI,AI
,,,,Processing Technology,,,
97,7392 (85.9305756),3211,321124610,Information Technology,JEE(Main),AI to AI,AI
98,7425 (85.8775203),6207,620799510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
,,,,,,,
,,,,,,,
99,7443 (85.8695332),3204,320424510,Computer Engineering,JEE(Main),AI to AI,AI
100,7519 (85.7364921),6141,614124610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
101,7561 (85.6472566),3176,317625310,Internet of Things (IoT),JEE(Main),AI to AI,AI
102,7707 (85.4204424),5121,512124510,Computer Engineering,JEE(Main),AI to AI,AI
103,7913 (85.0921058),3201,320124510,Computer Engineering,JEE(Main),AI to AI,AI
104,8004 (84.9258446),6141,614126210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Business Systems,,,
105,8033 (84.8850717),3214,321424610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
106,8048 (84.8602312),3204,320424610,Information Technology,JEE(Main),AI to AI,AI
107,8068 (84.8388574),3185,318537210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
108,8166 (84.7256983),6802,680299510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
109,8175 (84.6708879),3135,313524510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
110,8200 (84.6179412),6177,617724610,Information Technology,JEE(Main),AI to AI,AI
111,8217 (84.6085607),4116,411624210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
112,8222 (84.6085607),6156,615624510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
,,,,,,,
113,8307 (84.5128500),4167,416799510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
114,8359 (84.4525338),6282,628299510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
115,8407 (84.2998086),3183,318324510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
116,8582 (84.0666493),1101,110124210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
117,8619 (84.0302296),6265,626524210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
118,8766 (83.7494942),4115,411529310,Electrical Engineering,JEE(Main),AI to AI,AI
119,8871 (83.5871006),6281,628124510,Computer Engineering,JEE(Main),AI to AI,AI
120,8888 (83.5477221),6276,627661250F,Mechanical Engineering,JEE(Main),AI to AI,AI
121,8935 (83.5161250),4167,416791110,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering(Artificial ,,,
122,8937 (83.4811764),6139,613924610,Information Technology,JEE(Main),AI to AI,AI
123,8951 (83.4811764),3207,320724510,Computer Engineering,JEE(Main),AI to AI,AI
124,8998 (83.4011958),3211,321199510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
125,9049 (83.3494165),6285,628524550F,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
126,9050 (83.3302993),3439,343924510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
,,,,,,,
127,9109 (83.2498448),6214,621424510,Computer Engineering,JEE(Main),AI to AI,AI
128,9175 (83.1773304),4137,413724210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
129,9187 (83.1382316),4115,411537610,Electronics Engineering,JEE(Main),AI to AI,AI
130,9235 (83.0379530),6754,675437210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
131,9245 (82.9978831),4167,416725110,Computer Technology,JEE(Main),AI to AI,AI
132,9323 (82.9718185),5121,512124610,Information Technology,JEE(Main),AI to AI,AI
133,9324 (82.9718185),6139,613999510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
134,9384 (82.8495308),6274,627437210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
135,9387 (82.8468037),6155,615524510,Computer Engineering,JEE(Main),AI to AI,AI
136,9502 (82.6631292),6272,627237210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
137,9558 (82.5512412),4115,411561210,Mechanical Engineering,JEE(Main),AI to AI,AI
138,9641 (82.4942188),6178,617824510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
139,9701 (82.4588403),6156,615624610,Information Technology,JEE(Main),AI to AI,AI
140,9899 (82.1041923),6622,662299510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
,,,,,,,
,,,,,,,
141,9922 (82.0691730),4167,416724610,Information Technology,JEE(Main),AI to AI,AI
142,9945 (82.0603550),6139,613992110,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Machine Learning,,,
143,10002 (82.0200227),6822,682237210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
144,10091 (81.8695237),3189,318924610,Information Technology,JEE(Main),AI to AI,AI
145,10287 (81.5571325),6273,627361210,Mechanical Engineering,JEE(Main),AI to AI,AI
,,,,,,,
146,10343 (81.4863304),6155,615591110,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering(Artificial ,,,
147,10391 (81.3460969),6267,626724210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
148,10398 (81.3437347),3176,317690010,Electronics and Computer ,JEE(Main),AI to AI,AI
,,,,Science,,,
149,10424 (81.3437347),3187,318724510,Computer Engineering,JEE(Main),AI to AI,AI
150,10427 (81.3418205),6155,615591310,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering (Artificial ,,,
151,10470 (81.2903642),6285,628524650F,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
152,10471 (81.2903642),3135,313524610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
153,10521 (81.2074805),6278,627837210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
154,10529 (81.2074805),3148,314899510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
,,,,,,,
,,,,,,,
155,10578 (81.1493625),6178,617824610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
156,10592 (81.1369063),3194,319424510,Computer Engineering,JEE(Main),AI to AI,AI
157,10612 (81.1147401),5162,516224510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
158,10626 (81.1054220),6175,617519110,Civil Engineering,JEE(Main),AI to AI,AI
,,,,,,,
159,10695 (80.9703941),3190,319024510,Computer Engineering,JEE(Main),AI to AI,AI
160,10785 (80.8163226),3184,318490010,Electronics and Computer ,JEE(Main),AI to AI,AI
,,,,Science,,,
161,10875 (80.7071847),6145,614524510,Computer Engineering,JEE(Main),AI to AI,AI
162,10893 (80.6852507),4116,411691110,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering(Artificial ,,,
163,10984 (80.5483465),6265,626524610,Information Technology,JEE(Main),AI to AI,AI
164,11004 (80.5436897),6310,631024510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
165,11149 (80.3296259),6214,621456810,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Information Technology,,,
166,11232 (80.1842488),3196,319629310,Electrical Engineering,JEE(Main),AI to AI,AI
167,11236 (80.1641985),1101,110124610,Information Technology,JEE(Main),AI to AI,AI
168,11240 (80.1641985),6122,612224510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
,,,,,,,
169,11285 (80.1048117),6160,616024510,Computer Engineering,JEE(Main),AI to AI,AI
170,11320 (80.0900469),3183,318324610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
171,11347 (80.0723490),3196,319624510,Computer Engineering,JEE(Main),AI to AI,AI
172,11399 (79.9772884),6772,677224510,Computer Engineering,JEE(Main),AI to AI,AI
173,11405 (79.9728602),4116,411624610,Information Technology,JEE(Main),AI to AI,AI
174,11468 (79.9425304),6755,675524510,Computer Engineering,JEE(Main),AI to AI,AI
175,11488 (79.9152869),6156,615699510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
176,11489 (79.9152869),5449,544924510,Computer Engineering,JEE(Main),AI to AI,AI
177,11522 (79.8749127),3148,314824510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
178,11571 (79.7956794),6145,614524610,Information Technology,JEE(Main),AI to AI,AI
179,11635 (79.6677276),3201,320199510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
180,11671 (79.6484338),4115,411519110,Civil Engineering,JEE(Main),AI to AI,AI
181,11727 (79.5358650),2020,202060610,Production Engineering,JEE(Main),MH to AI,GVJO
,,,,,,,
182,11837 (79.4205259),3185,318537610,Electronics Engineering,JEE(Main),AI to AI,AI
,,,,,,,
,,,,,,,
,,,,,,,
183,11850 (79.4161645),6146,614637210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
184,11927 (79.3569955),3203,320324510,Computer Engineering,JEE(Main),AI to AI,AI
185,11999 (79.2135262),6622,662224510,Computer Engineering,JEE(Main),AI to AI,AI
186,12081 (78.9694561),6284,628424510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
187,12098 (78.9683612),3211,321192110,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Machine Learning,,,
188,12126 (78.9417447),5121,512125710,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Design,,,
189,12202 (78.8345471),6207,620737210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
190,12214 (78.8345471),6155,615524610,Information Technology,JEE(Main),AI to AI,AI
191,12254 (78.8282664),3176,317637210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
192,12315 (78.7949037),6222,622224210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
193,12369 (78.6827359),6796,679619110,Civil Engineering,JEE(Main),MH to AI,LOBCH
194,12556 (78.3793078),3207,320737210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
195,12604 (78.3361550),3042,304229310,Electrical Engineering,JEE(Main),MH to AI,GSTH
196,12641 (78.3013482),3423,342324510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
,,,,,,,
197,12668 (78.2673959),4649,464924510,Computer Engineering,JEE(Main),AI to AI,AI
198,12802 (78.0410106),6265,626584410,Electronics and Computer ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
199,12843 (78.0098209),4115,411546110,Bio Medical Engineering,JEE(Main),AI to AI,AI
200,12863 (77.9988220),5160,516024510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
201,12882 (77.9436116),4123,412324210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
202,12898 (77.9229403),6267,626791110,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering(Artificial ,,,
203,12899 (77.9229403),6141,614137210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
204,12903 (77.9229403),4142,414224210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
205,12969 (77.8269700),6772,677224610,Information Technology,JEE(Main),AI to AI,AI
206,13015 (77.7955225),2113,211324210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
207,13041 (77.7831452),6267,626791210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering(Data Science),,,
208,13055 (77.7584060),6276,627646450F,Instrumentation and ,JEE(Main),AI to AI,AI
,,,,Control Engineering,,,
209,13077 (77.7501347),6802,680237210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
210,13086 (77.7330406),4174,417491210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering(Data Science),,,
,,,,,,,
,,,,,,,
211,13123 (77.6817314),3204,320461210,Mechanical Engineering,JEE(Main),AI to AI,AI
212,13187 (77.6013348),3211,321192010,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering (Internet of ,,,
213,13236 (77.4393531),4167,416725710,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Design,,,
214,13335 (77.3715211),6187,618724510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
215,13351 (77.3253716),6175,617561210,Mechanical Engineering,JEE(Main),AI to AI,AI
,,,,,,,
216,13405 (77.2882634),3194,319424610,Information Technology,JEE(Main),AI to AI,AI
217,13432 (77.2450625),3135,313599510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
218,13455 (77.2190823),6182,618224510,Computer Engineering,JEE(Main),AI to AI,AI
219,13460 (77.2186879),6282,628237210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
220,13517 (77.2138177),6622,662292110,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Machine Learning,,,
221,13518 (77.2138177),6155,615526010,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering (Cyber ,,,
222,13561 (77.0980350),5108,510824610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
223,13567 (77.0980350),4116,411626710,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering (IoT),,,
224,13721 (76.9171367),6273,627346410,Instrumentation and ,JEE(Main),AI to AI,AI
,,,,Control Engineering,,,
,,,,,,,
,,,,,,,
225,13723 (76.9171367),4137,413726310,Artificial Intelligence (AI) ,JEE(Main),AI to AI,AI
,,,,and Data Science,,,
226,13820 (76.7281375),5172,517224510,Computer Engineering,JEE(Main),AI to AI,AI
227,13830 (76.7281375),4174,417499710,Artificial Intelligence,JEE(Main),AI to AI,AI
228,13874 (76.7133125),6732,673224510,Computer Engineering,JEE(Main),AI to AI,AI
229,13884 (76.7042410),3197,319729310,Electrical Engineering,JEE(Main),AI to AI,AI
,,,,,,,
230,14041 (76.4844461),3475,347591210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering(Data Science),,,
231,14060 (76.4625733),2250,225024210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
232,14072 (76.4625733),6310,631024610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
233,14130 (76.3858922),5162,516224610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
234,14163 (76.2833984),4116,411699710,Artificial Intelligence,JEE(Main),AI to AI,AI
235,14203 (76.2241447),5160,516024610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
236,14219 (76.2052717),6179,617924510,Computer Engineering,JEE(Main),AI to AI,AI
237,14296 (76.1331756),3148,314824610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
238,14355 (76.0720106),4137,413792110,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Machine Learning,,,
,,,,,,,
,,,,,,,
239,14414 (76.0289070),3190,319024610,Information Technology,JEE(Main),AI to AI,AI
240,14448 (76.0238128),1105,110524210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
241,14481 (75.9807195),6139,613984410,Electronics and Computer ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
242,14607 (75.7045396),6786,678624510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
243,14613 (75.7045396),3475,347524510,Computer Engineering,JEE(Main),AI to AI,AI
244,14638 (75.7045396),3194,319491210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering(Data Science),,,
245,14641 (75.7045396),3184,318461210,Mechanical Engineering,JEE(Main),AI to AI,AI
246,14654 (75.6824645),5160,516084410,Electronics and Computer ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
247,14720 (75.6342131),6141,614119110,Civil Engineering,JEE(Main),AI to AI,AI
,,,,,,,
248,14769 (75.5924897),4115,411558910,Industrial Engineering,JEE(Main),AI to AI,AI
249,14804 (75.5725264),3203,320324610,Information Technology,JEE(Main),AI to AI,AI
250,14890 (75.4274790),3176,317619110,Civil Engineering,JEE(Main),AI to AI,AI
251,14939 (75.4231187),3197,319737210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
252,14961 (75.3963563),6311,631124510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
,,,,,,,
,,,,,,,
253,15064 (75.3287459),6139,613937210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
254,15073 (75.2248221),6622,662237210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
255,15105 (75.2174056),3208,320837210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
256,15203 (75.0148482),5121,512199510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
257,15231 (75.0136647),3154,315424510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
258,15239 (75.0136647),5139,513924510,Computer Engineering,JEE(Main),AI to AI,AI
259,15272 (74.9981955),3423,342324610,Information Technology,JEE(Main),AI to AI,AI
260,15284 (74.9154025),6187,618724610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
261,15290 (74.9154025),6222,622291310,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering (Artificial ,,,
262,15305 (74.9110030),2133,213324210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
263,15308 (74.9110030),3042,304229310,Electrical Engineering,JEE(Main),MH to AI,GVJH
264,15315 (74.9110030),6182,618224610,Information Technology,JEE(Main),AI to AI,AI
265,15352 (74.8919896),3188,318824510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
266,15385 (74.8832530),4167,416737210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
