Sr. No,"All India 
Merit",Institute Code,Choice Code,Course Name,"Exam(JEE/
MHT-CET)",Type,Seat Type
1,403 (98.3884549),3215,321524510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
2,429 (98.3080548),6271,627124510,Computer Engineering,JEE(Main),AI to AI,AI
3,539 (98.0150424),3215,321591110,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering(Artificial ,,,
4,692 (97.5972864),3215,321591210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering(Data Science),,,
5,753 (97.4442980),6271,627124610,Information Technology,JEE(Main),AI to AI,AI
6,804 (97.3237705),3199,319924510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
7,1003 (96.9182776),3036,303650710,Chemical Engineering,JEE(Main),AI to AI,AI
8,1261 (96.4103745),3199,319924610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
9,1287 (96.3564768),3199,319991210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering(Data Science),,,
10,1340 (96.2483260),6273,627324510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
11,1436 (96.0214836),4115,411524210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
12,1480 (95.9468796),6273,627324610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
13,1898 (95.1212598),3199,319992110,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Machine Learning,,,
14,1902 (95.1208417),3199,319992010,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering (Internet of ,,,
,,,,,,,
,,,,,,,
15,2061 (94.8265297),3182,318224510,Computer Engineering,JEE(Main),AI to AI,AI
16,2082 (94.7906888),6175,617524510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
17,2138 (94.6881885),3215,321537210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
18,2215 (94.5434916),3036,303653410,Food Engineering and ,JEE(Main),AI to AI,AI
,,,,Technology,,,
19,2296 (94.4034888),4115,411524610,Information Technology,JEE(Main),AI to AI,AI
20,2327 (94.3627140),3035,303537050F,Electronics and ,JEE(Main),MH to AI,LNT2O
,,,,Communication ,,,
