Sr. No,"All India 
Merit",Institute Code,Choice Code,Course Name,"Exam(JEE/
MHT-CET)",Type,Seat Type
1,82 (98.8923424),3215,321524510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
2,215 (98.2578493),6271,627124510,Computer Engineering,JEE(Main),AI to AI,AI
3,233 (98.1990217),3199,319924510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
4,265 (98.0693035),6271,627124520,Computer Engineering,JEE(Main),AI to AI,AI
5,266 (98.0605518),3215,321524610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
6,400 (97.6116572),3199,319924610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
7,499 (97.2807957),6271,627124610,Information Technology,JEE(Main),AI to AI,AI
8,611 (96.9417419),3182,318224510,Computer Engineering,JEE(Main),AI to AI,AI
9,679 (96.7150457),6273,627324510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
10,754 (96.5495670),6273,627324520,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
11,764 (96.5201553),3036,303650710,Chemical Engineering,JEE(Main),AI to AI,AI
12,780 (96.4632201),3185,318524510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
13,826 (96.3552158),6276,627624520F,Computer Engineering,JEE(Main),AI to AI,AI
14,834 (96.3236849),3185,318524520,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
,,,,,,,
15,852 (96.2974983),6273,627324610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
16,853 (96.2974983),4115,411524210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
17,916 (96.1675175),3215,321537210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
18,963 (96.0542514),6175,617524510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
19,1061 (95.8749223),6175,617524520,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
20,1106 (95.7783249),3036,303653410,Food Engineering and ,JEE(Main),AI to AI,AI
,,,,Technology,,,
21,1171 (95.6435427),6276,627624510F,Computer Engineering,JEE(Main),AI to AI,AI
22,1354 (95.3024769),6271,627137210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
23,1394 (95.2178570),3182,318224610,Information Technology,JEE(Main),AI to AI,AI
24,1408 (95.1940672),3209,320924510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
25,1432 (95.1209764),6175,617524610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
26,1459 (95.1025671),3036,303651910,Polymer Engineering and ,JEE(Main),AI to AI,AI
,,,,Technology,,,
27,1472 (95.0760119),3185,318524610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
28,1488 (95.0692270),3215,321537610,Electronics Engineering,JEE(Main),AI to AI,AI
,,,,,,,
,,,,,,,
29,1511 (95.0046078),6271,627137220,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
30,1522 (94.9947813),3214,321424510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
31,1591 (94.8593032),6273,627399510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
32,1621 (94.8225741),6289,628924510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
33,1679 (94.7251739),3199,319937210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
34,1701 (94.6934492),3185,318599510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
35,1744 (94.6215562),4649,464929310,Electrical Engineering,JEE(Main),AI to AI,AI
36,1745 (94.6215562),6274,627424510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
37,1746 (94.6215562),4115,411591110,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering(Artificial ,,,
38,1747 (94.6215562),4115,411524610,Information Technology,JEE(Main),AI to AI,AI
39,1749 (94.6215562),3199,319961210,Mechanical Engineering,JEE(Main),AI to AI,AI
,,,,,,,
40,1773 (94.5736703),6289,628924520,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
41,1818 (94.4600576),3176,317624510,Computer Engineering,JEE(Main),AI to AI,AI
42,1903 (94.3664854),6276,627624610F,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
43,1907 (94.3664854),3176,317624610,Information Technology,JEE(Main),AI to AI,AI
44,1977 (94.2572880),3182,318299510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
