Sr. No,"All India 
Merit",Institute Code,Choice Code,Course Name,"Exam(JEE/
MHT-CET)",Type,Seat Type
45,2038 (94.1568868),4115,411537010,Electronics and ,JEE(Main),AI to AI,AI
,,,,Communication ,,,
46,2073 (94.1090934),3209,320924610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
47,2176 (93.9274950),6289,628924610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
48,2196 (93.9145441),3204,320424510,Computer Engineering,JEE(Main),AI to AI,AI
49,2218 (93.8610290),3036,303651210,"Oil,Oleochemicals and ",JEE(Main),AI to AI,AI
,,,,Surfactants Technology,,,
50,2255 (93.7932185),4115,411591010,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering(Cyber ,,,
51,2348 (93.6335200),3199,319937610,Electronics Engineering,JEE(Main),AI to AI,AI
,,,,,,,
52,2524 (93.3098640),6272,627224510,Computer Engineering,JEE(Main),AI to AI,AI
53,2589 (93.2385886),3197,319724510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
54,2647 (93.1232349),4115,411537020,Electronics and ,JEE(Main),AI to AI,AI
,,,,Communication ,,,
55,2719 (93.0386690),3176,317637610,Electronics Engineering,JEE(Main),AI to AI,AI
56,2732 (92.9971699),6273,627337210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
,,,,,,,
57,2745 (92.9798839),3197,319724610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
58,2891 (92.7635149),3208,320824610,Information Technology,JEE(Main),AI to AI,AI
59,2903 (92.7394288),6222,622291310,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering (Artificial ,,,
60,2945 (92.6768827),3209,320999510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
61,2957 (92.6768827),6289,628999510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
62,2992 (92.5916649),6273,627337220,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
63,3016 (92.5689181),6278,627824510,Computer Engineering,JEE(Main),AI to AI,AI
64,3022 (92.5089130),6282,628224510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
65,3130 (92.4038277),6274,627424610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
66,3206 (92.2920648),3036,303651110,Dyestuff Technology,JEE(Main),AI to AI,AI
67,3234 (92.2386947),6146,614624510,Computer Engineering,JEE(Main),AI to AI,AI
68,3274 (92.2061383),3139,313924510,Computer Engineering,JEE(Main),AI to AI,AI
69,3315 (92.1371141),4115,411537620,Electronics Engineering,JEE(Main),AI to AI,AI
70,3316 (92.1371141),3036,303672910,Surface Coating ,JEE(Main),AI to AI,AI
,,,,Technology,,,
,,,,,,,
71,3447 (91.9457314),3176,317699510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
72,3493 (91.8469310),6754,675424510,Computer Engineering,JEE(Main),AI to AI,AI
73,3539 (91.8335187),4151,415137010,Electronics and ,JEE(Main),MH to AI,GNT1H
,,,,Communication ,,,
74,3560 (91.7718649),3182,318237210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
75,3584 (91.7401809),6278,627824520,Computer Engineering,JEE(Main),AI to AI,AI
76,3699 (91.6172658),4167,416724210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
77,3739 (91.4701597),6822,682224510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
78,3760 (91.4542217),3036,303651410,Fibres and Textile ,JEE(Main),AI to AI,AI
,,,,Processing Technology,,,
79,3775 (91.4431022),6175,617537210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
80,3802 (91.3985159),3184,318461210,Mechanical Engineering,JEE(Main),AI to AI,AI
81,3837 (91.3844507),6141,614124510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
82,3850 (91.3844507),3139,313924610,Information Technology,JEE(Main),AI to AI,AI
83,3853 (91.3844507),3201,320199510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
84,3925 (91.2222675),3207,320724510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
85,3929 (91.2222675),3176,317692110,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Machine Learning,,,
86,3943 (91.2222675),6146,614624610,Information Technology,JEE(Main),AI to AI,AI
87,3961 (91.2031136),6175,617537220,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
88,4041 (91.0883933),6028,602837210,Electronics and ,JEE(Main),MH to AI,GNT2H
,,,,Telecommunication Engg,,,
89,4099 (90.9951692),3208,320824510,Computer Engineering,JEE(Main),AI to AI,AI
90,4135 (90.9225631),6754,675424610,Information Technology,JEE(Main),AI to AI,AI
91,4138 (90.9225631),6273,627361210,Mechanical Engineering,JEE(Main),AI to AI,AI
,,,,,,,
92,4139 (90.9225631),6272,627224610,Information Technology,JEE(Main),AI to AI,AI
93,4212 (90.7708248),3199,319950710,Chemical Engineering,JEE(Main),AI to AI,AI
,,,,,,,
94,4213 (90.7708248),5121,512124510,Computer Engineering,JEE(Main),AI to AI,AI
95,4216 (90.7708248),5162,516224510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
96,4436 (90.4590322),6177,617724510,Computer Engineering,JEE(Main),AI to AI,AI
97,4569 (90.2312418),6139,613924510,Computer Engineering,JEE(Main),AI to AI,AI
98,4589 (90.2312418),6282,628224520,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
,,,,,,,
99,4607 (90.2170737),6273,627361220,Mechanical Engineering,JEE(Main),AI to AI,AI
,,,,,,,
100,4625 (90.1726194),2127,212719110,Civil Engineering,JEE(Main),AI to AI,AI
101,4730 (89.9667109),6796,679624510,Computer Engineering,JEE(Main),AI to AI,AI
102,4779 (89.9572030),3189,318924510,Computer Engineering,JEE(Main),AI to AI,AI
103,4822 (89.8782776),6177,617724520,Computer Engineering,JEE(Main),AI to AI,AI
104,4910 (89.7190781),6175,617519110,Civil Engineering,JEE(Main),AI to AI,AI
,,,,,,,
105,4938 (89.7056982),6276,627637210F,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
106,4962 (89.6834795),5121,512124610,Information Technology,JEE(Main),AI to AI,AI
107,4977 (89.6659074),3135,313524510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
108,5043 (89.6122760),3201,320124510,Computer Engineering,JEE(Main),AI to AI,AI
109,5073 (89.4732118),6141,614124610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
110,5195 (89.3342286),6276,627637220F,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
111,5197 (89.3342286),6289,628937210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
112,5202 (89.3183196),6282,628224610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
,,,,,,,
113,5203 (89.3183196),3204,320424610,Information Technology,JEE(Main),AI to AI,AI
114,5255 (89.2094379),3182,318250710,Chemical Engineering,JEE(Main),AI to AI,AI
115,5294 (89.1931005),6139,613924520,Computer Engineering,JEE(Main),AI to AI,AI
116,5308 (89.1794150),6802,680224510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
117,5403 (88.9710070),6207,620724510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
118,5430 (88.9132101),3211,321124510,Computer Engineering,JEE(Main),AI to AI,AI
119,5551 (88.8568844),3214,321424610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
120,5659 (88.5809397),3209,320937210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
121,5688 (88.5707183),3423,342324510,Computer Engineering,JEE(Main),AI to AI,AI
122,5712 (88.5632784),6207,620724520,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
123,5865 (88.2592361),6282,628299510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
124,5903 (88.2292847),4167,416725110,Computer Technology,JEE(Main),AI to AI,AI
125,5923 (88.2292847),6175,617561210,Mechanical Engineering,JEE(Main),AI to AI,AI
,,,,,,,
126,5939 (88.2289171),4115,411519110,Civil Engineering,JEE(Main),AI to AI,AI
,,,,,,,
127,5946 (88.2289171),3214,321437210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
128,6006 (88.1344812),4116,411624210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
129,6025 (88.1199539),4115,411529310,Electrical Engineering,JEE(Main),AI to AI,AI
130,6026 (88.1199539),6207,620724610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
131,6063 (87.9636968),6177,617724610,Information Technology,JEE(Main),AI to AI,AI
132,6099 (87.9538023),6139,613924610,Information Technology,JEE(Main),AI to AI,AI
133,6110 (87.9271554),6281,628124510,Computer Engineering,JEE(Main),AI to AI,AI
134,6111 (87.9271554),4115,411519120,Civil Engineering,JEE(Main),AI to AI,AI
135,6117 (87.9271554),5160,516024510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
136,6131 (87.9271554),3423,342324610,Information Technology,JEE(Main),AI to AI,AI
137,6211 (87.7871498),6276,627661210F,Mechanical Engineering,JEE(Main),AI to AI,AI
138,6217 (87.7810287),6139,613924620,Information Technology,JEE(Main),AI to AI,AI
139,6232 (87.7810287),6272,627299510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
140,6324 (87.6521530),3185,318537210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
,,,,,,,
141,6326 (87.6521530),3211,321124610,Information Technology,JEE(Main),AI to AI,AI
142,6441 (87.4924247),6281,628124520,Computer Engineering,JEE(Main),AI to AI,AI
143,6489 (87.3423798),6214,621424510,Computer Engineering,JEE(Main),AI to AI,AI
144,6502 (87.3353649),1101,110124210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
145,6511 (87.3353649),4116,411699710,Artificial Intelligence,JEE(Main),AI to AI,AI
146,6876 (86.8868641),6284,628424510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
147,6880 (86.8844447),6214,621456810,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Information Technology,,,
148,6906 (86.8555875),6178,617824510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
149,6947 (86.7719461),3135,313524610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
150,6948 (86.7719461),6175,617561220,Mechanical Engineering,JEE(Main),AI to AI,AI
,,,,,,,
151,6965 (86.7719461),3208,320837210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
152,7032 (86.5685661),3475,347524510,Computer Engineering,JEE(Main),AI to AI,AI
153,7052 (86.5685661),2134,213424210,Computer Science and ,JEE(Main),MH to AI,GOBCH
,,,,Engineering,,,
154,7102 (86.4765691),3467,346791110,Computer Science and ,JEE(Main),MH to AI,GVJH
,,,,Engineering(Artificial ,,,
,,,,,,,
155,7105 (86.4765691),1101,110124610,Information Technology,JEE(Main),AI to AI,AI
156,7207 (86.3819671),6178,617824520,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
157,7230 (86.3334737),6156,615624510,Computer Engineering,JEE(Main),AI to AI,AI
158,7285 (86.2234746),6178,617824610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
159,7332 (86.1693056),3197,319737210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
160,7393 (86.0470773),6755,675524510,Computer Engineering,JEE(Main),AI to AI,AI
161,7399 (86.0470773),6265,626524210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
162,7405 (86.0470773),6207,620799510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
163,7427 (86.0470773),3203,320324510,Computer Engineering,JEE(Main),AI to AI,AI
164,7475 (86.0316146),6265,626524610,Information Technology,JEE(Main),AI to AI,AI
165,7538 (85.8991652),6284,628424610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
166,7610 (85.8296807),6272,627237210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
167,7661 (85.7869807),3207,320724610,Information Technology,JEE(Main),AI to AI,AI
168,7762 (85.4889830),6176,617624510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
169,7793 (85.4552722),3467,346791110,Computer Science and ,JEE(Main),MH to AI,GNT2O
,,,,Engineering(Artificial ,,,
170,7835 (85.4368932),3197,319729310,Electrical Engineering,JEE(Main),AI to AI,AI
,,,,,,,
171,7853 (85.4368932),4167,416724610,Information Technology,JEE(Main),AI to AI,AI
172,7879 (85.4368932),6155,615524510,Computer Engineering,JEE(Main),AI to AI,AI
173,7908 (85.4358867),6802,680299510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
174,7953 (85.3778214),3183,318324510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
175,7986 (85.3283287),4174,417424510,Computer Engineering,JEE(Main),AI to AI,AI
176,8001 (85.3283287),3194,319424510,Computer Engineering,JEE(Main),AI to AI,AI
177,8012 (85.3283287),5380,538019110,Civil Engineering,JEE(Main),MH to AI,LOBCH
178,8017 (85.3283287),3190,319024610,Information Technology,JEE(Main),AI to AI,AI
179,8030 (85.3100989),6145,614524510,Computer Engineering,JEE(Main),AI to AI,AI
180,8042 (85.2426313),3033,303352710,Petro Chemical ,JEE(Main),MH to AI,GOPENO
,,,,Engineering,,,
181,8098 (85.0622493),5108,510824510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
182,8128 (85.0622493),3183,318361210,Mechanical Engineering,JEE(Main),AI to AI,AI
,,,,,,,
,,,,,,,
183,8138 (85.0622493),5160,516061210,Mechanical Engineering,JEE(Main),AI to AI,AI
,,,,,,,
184,8146 (85.0150423),6822,682237210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
185,8172 (85.0150423),6285,628524510F,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
186,8186 (85.0128714),6214,621419110,Civil Engineering,JEE(Main),AI to AI,AI
187,8238 (85.0100957),6267,626724210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
188,8290 (84.8392186),6155,615524610,Information Technology,JEE(Main),AI to AI,AI
189,8360 (84.8353696),1101,110137210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
190,8383 (84.7907305),3176,317637210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
191,8426 (84.7348983),4116,411624610,Information Technology,JEE(Main),AI to AI,AI
192,8534 (84.5759453),6156,615624610,Information Technology,JEE(Main),AI to AI,AI
193,8538 (84.5759453),4115,411546110,Bio Medical Engineering,JEE(Main),AI to AI,AI
194,8578 (84.5029381),6139,613999510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
195,8585 (84.5029381),4142,414224210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
196,8632 (84.4759838),5121,512199510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
,,,,,,,
197,8660 (84.4759838),5107,510724510,Computer Engineering,JEE(Main),AI to AI,AI
198,8775 (84.3040913),3148,314899510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
199,8829 (84.2064983),3148,314824510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
200,8952 (83.9788428),6754,675437210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
201,8967 (83.9531460),3189,318924610,Information Technology,JEE(Main),AI to AI,AI
202,8970 (83.9531460),5108,510824610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
203,9019 (83.8310209),3190,319024510,Computer Engineering,JEE(Main),AI to AI,AI
204,9049 (83.7700478),6274,627437210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
205,9127 (83.7000641),6265,626519110,Civil Engineering,JEE(Main),AI to AI,AI
206,9181 (83.6819036),2126,212619110,Civil Engineering,JEE(Main),MH to AI,LNT1H
,,,,,,,
207,9282 (83.5120597),6176,617624610,Information Technology,JEE(Main),AI to AI,AI
208,9341 (83.3771799),4177,417724210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
209,9409 (83.3202181),6222,622219110,Civil Engineering,JEE(Main),AI to AI,AI
,,,,,,,
210,9497 (83.2164625),3190,319024520,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
211,9505 (83.2164625),4167,416737210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
212,9597 (83.1496556),3207,320790010,Electronics and Computer ,JEE(Main),AI to AI,AI
,,,,Science,,,
213,9667 (83.0211088),6772,677224510,Computer Engineering,JEE(Main),AI to AI,AI
214,9702 (82.9628761),6160,616024510,Computer Engineering,JEE(Main),AI to AI,AI
215,9722 (82.9589254),3187,318724510,Computer Engineering,JEE(Main),AI to AI,AI
216,9729 (82.9589254),4116,411637210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
217,9751 (82.9378102),4174,417424610,Information Technology,JEE(Main),AI to AI,AI
218,9766 (82.8549045),6145,614524610,Information Technology,JEE(Main),AI to AI,AI
219,9843 (82.7539900),6772,677224610,Information Technology,JEE(Main),AI to AI,AI
220,9982 (82.5296090),6182,618224510,Computer Engineering,JEE(Main),AI to AI,AI
221,9989 (82.5296090),3194,319424610,Information Technology,JEE(Main),AI to AI,AI
222,9999 (82.5135857),6278,627837210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
223,10055 (82.5135857),1105,110524210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
224,10060 (82.5135857),4649,464961210,Mechanical Engineering,JEE(Main),AI to AI,AI
,,,,,,,
225,10147 (82.3764002),3196,319624510,Computer Engineering,JEE(Main),AI to AI,AI
226,10196 (82.3595638),3148,314824610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
227,10228 (82.3595638),6285,628524610F,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
228,10393 (82.1440139),3183,318391110,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering(Artificial ,,,
229,10512 (81.8931529),3203,320324610,Information Technology,JEE(Main),AI to AI,AI
230,10514 (81.8931529),6182,618224520,Computer Engineering,JEE(Main),AI to AI,AI
231,10522 (81.8931529),6732,673224510,Computer Engineering,JEE(Main),AI to AI,AI
232,10560.1 (81.7623135),3212,321224510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
233,10591 (81.7623135),6139,613992110,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Machine Learning,,,
234,10605 (81.7623135),6298,629824510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
235,10657 (81.7073680),3176,317661210,Mechanical Engineering,JEE(Main),AI to AI,AI
236,10768 (81.6736280),3210,321024510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
237,10788 (81.6656313),6141,614137210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
238,10807 (81.6656313),4649,464924510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
239,10847 (81.6567545),4137,413724210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
240,10856 (81.6472508),3183,318337210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
241,11069 (81.1457316),4137,413737210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
242,11219 (81.0613944),6122,612224510,Computer Engineering,JEE(Main),AI to AI,AI
243,11251 (81.0613944),5160,516024610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
244,11277 (81.0222959),6222,622224210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
245,11296 (81.0222959),6146,614637210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
246,11362 (80.9835222),6289,628961210,Mechanical Engineering,JEE(Main),AI to AI,AI
,,,,,,,
247,11418 (80.8987154),3204,320461210,Mechanical Engineering,JEE(Main),AI to AI,AI
248,11421 (80.8987154),4004,400446610,Instrumentation ,JEE(Main),MH to AI,GNT2H
,,,,Engineering,,,
249,11464 (80.7278425),6187,618724510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
250,11502 (80.5700957),6273,627350710,Chemical Engineering,JEE(Main),AI to AI,AI
,,,,,,,
251,11648 (80.4707730),6298,629824520,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
252,11659 (80.4707730),4116,411691710,Data Science,JEE(Main),AI to AI,AI
,,,,,,,
253,11673 (80.4707730),2533,253319110,Civil Engineering,JEE(Main),AI to AI,AI
254,11778 (80.4362532),3190,319062410,Mechatronics Engineering,JEE(Main),MH to AI,GNT3H
255,11860 (80.3809342),6187,618724520,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
256,12012 (80.2950778),4123,412325110,Computer Technology,JEE(Main),AI to AI,AI
,,,,,,,
257,12027 (80.2950778),3188,318824510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
258,12071 (80.0547856),3221,322124510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
259,12105 (79.9476611),5160,516084410,Electronics and Computer ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
260,12290 (79.7610105),3475,347524610,Information Technology,JEE(Main),AI to AI,AI
261,12296 (79.7610105),5162,516224610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
262,12310 (79.7610105),6146,614619110,Civil Engineering,JEE(Main),AI to AI,AI
263,12360 (79.6926058),6786,678624510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
264,12450 (79.5845466),4174,417461210,Mechanical Engineering,JEE(Main),MH to AI,GOPENO
265,12451 (79.5845466),6649,664924510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
266,12472 (79.5845466),3221,322129310,Electrical Engineering,JEE(Main),MH to AI,GNT2H
,,,,,,,
,,,,,,,
267,12476 (79.5845466),6276,627646410F,Instrumentation and ,JEE(Main),AI to AI,AI
,,,,Control Engineering,,,
268,12499 (79.5845466),3183,318360210,Automobile Engineering,JEE(Main),MH to AI,GOPENO
,,,,,,,
269,12516 (79.5845466),6802,680237210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
270,12528 (79.5845466),6274,627461210,Mechanical Engineering,JEE(Main),AI to AI,AI
,,,,,,,
271,12625 (79.3433535),3201,320137210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
272,12703 (79.2999634),6769,676924510,Computer Engineering,JEE(Main),AI to AI,AI
273,12706 (79.2999634),5162,516237210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
274,12777 (79.2965978),6307,630724510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
275,12857 (79.1882377),6282,628237210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
