Sr. No,"All India 
Merit",Institute Code,Choice Code,Course Name,"Exam(JEE/
MHT-CET)",Type,Seat Type
,,,,,,,
61,4000 (91.4375415),3214,321424510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
62,4143 (91.2476395),6289,628999510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
63,4151 (91.2397427),6822,682224510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
64,4179 (91.1612290),6146,614624510,Computer Engineering,JEE(Main),AI to AI,AI
65,4269 (91.0028556),4115,411537010,Electronics and ,JEE(Main),AI to AI,AI
,,,,Communication ,,,
66,4359 (90.8345560),3184,318499510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
67,4375 (90.8238503),3176,317691010,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering(Cyber ,,,
68,4493 (90.6236230),3176,317624610,Information Technology,JEE(Main),AI to AI,AI
69,4508 (90.6125758),3036,303651410,Fibres and Textile ,JEE(Main),AI to AI,AI
,,,,Processing Technology,,,
70,4525 (90.5919900),3209,320937210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
,,,,,,,
71,4571 (90.4674074),3176,317699510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
72,4643 (90.3758504),3204,320424510,Computer Engineering,JEE(Main),AI to AI,AI
73,4737 (90.2165181),6278,627824510,Computer Engineering,JEE(Main),AI to AI,AI
74,4762 (90.1497858),6272,627224610,Information Technology,JEE(Main),AI to AI,AI
75,4784 (90.1321282),3201,320124510,Computer Engineering,JEE(Main),AI to AI,AI
76,4798 (90.1199990),6175,617537210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
77,4824 (90.0386089),6622,662292110,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Machine Learning,,,
78,5289 (89.3375021),3139,313924610,Information Technology,JEE(Main),AI to AI,AI
79,5293 (89.3375021),3189,318924510,Computer Engineering,JEE(Main),AI to AI,AI
80,5315 (89.2892783),6754,675424610,Information Technology,JEE(Main),AI to AI,AI
81,5372 (89.1821469),6141,614124510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
82,5383 (89.1496745),3214,321424610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
83,5393 (89.1446538),6207,620724510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
84,5484 (89.0005265),4167,416724210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
,,,,,,,
85,5491 (88.9836718),3211,321124510,Computer Engineering,JEE(Main),AI to AI,AI
86,5509 (88.9778714),3184,318490010,Electronics and Computer ,JEE(Main),AI to AI,AI
,,,,Science,,,
87,5549 (88.9127186),3176,317692110,Artificial Intelligence and ,JEE(Main),AI to AI,AI
