Sr.No.,Cut Off Merit (Score),Choice Code,Course Name,"Exam (JEE/MHT-
CET)",Type,Seat Type,Institue Code
28,1955 (96.7478855),318137210,Electronics and Telecommunication,JEE,AI to AI,AI,3181
29,1988 (96.7118402),318524510,Computer Engineering,JEE,AI to AI,AI,3185
30,2020 (96.6626524),411524610,Information Technology,JEE,AI to AI,AI,4115
31,2174 (96.4628494),617524520,Computer Engineering,JEE,AI to AI,AI,6175
32,2248 (96.3697591),319961210,Mechanical Engineering,JEE,AI to AI,AI,3199
33,2301 (96.3104187),627824520,Computer Engineering,JEE,AI to AI,AI,6278
34,2389 (96.1760540),411537020,Electronics and Communication,JEE,AI to AI,AI,4115
35,2402 (96.1699189),319724510,Computer Engineering,JEE,AI to AI,AI,3197
36,2430 (96.1159028),318224610,Information Technology,JEE,AI to AI,AI,3182
37,2442 (96.1052365),627624510F,Computer Engineering,JEE,AI to AI,AI,6276
38,2443 (96.0981957),628924510,Computer Engineering,JEE,AI to AI,AI,6289
39,2488 (96.0589880),411537010,Electronics and Communication,JEE,AI to AI,AI,4115
40,2500 (96.0504054),627337220,Electronics and Telecommunication,JEE,AI to AI,AI,
41,2510 (96.0473157),627337210,Electronics and Telecommunication,JEE,AI to AI,AI,
42,2538 (96.0140479),318424510,Computer Engineering,JEE,AI to AI,AI,
43,2574 (95.9627563),617524610,Information Technology,JEE,AI to AI,AI,6175
44,2613 (95.9273183),627361210,Mechanical Engineering,JEE,AI to AI,AI,6273
45,2648 (95.8835122),628924520,Computer Engineering,JEE,AI to AI,AI,
46,2761 (95.7607707),627361220,Mechanical Engineering,JEE,AI to AI,AI,
47,2777 (95.7480839),318490010,Electronics and Computer Science,JEE,AI to AI,AI,
48,2805 (95.7305832),319937610,Electronics Engineering,JEE,AI to AI,AI,3199
49,2864 (95.6566578),627624520F,Computer Engineering,JEE,AI to AI,AI,6276
50,2876 (95.6307934),627624610F,Information Technology,JEE,AI to AI,AI,6276
51,2938 (95.5390195),303651110,Dyestuff Technology,JEE,AI to AI,AI,3036
52,2999 (95.4488227),319724610,Information Technology,JEE,AI to AI,AI,3197
53,3018 (95.4199921),627424510,Computer Engineering,JEE,AI to AI,AI,6274
54,3074 (95.3396410),317624510,Computer Engineering,JEE,AI to AI,AI,3176
55,3224 (95.1348324),318524610,Information Technology,JEE,AI to AI,AI,3185
56,3359 (94.9836850),675424510,Computer Engineering,JEE,AI to AI,AI,6754
57,3416 (94.9118981),318137610,Electronics Engineering,JEE,AI to AI,AI,3181
58,3462 (94.8369831),627360610,Production Engineering,JEE,AI to AI,AI,6273
59,3485 (94.8196928),320924610,Information Technology,JEE,AI to AI,AI,3209
60,3503 (94.7825447),628924610,Information Technology,JEE,AI to AI,AI,6289
61,3580 (94.6939078),627824510,Computer Engineering,JEE,AI to AI,AI,6278
62,3593 (94.6700813),318237210,Electronics and Telecommunication,JEE,AI to AI,AI,3182
63,3695 (94.5402785),617561220,Mechanical Engineering,JEE,AI to AI,AI,6175
64,3738 (94.4918712),320424510,Computer Engineering,JEE,AI to AI,AI,3204
65,3823 (94.3790636),614624510,Computer Engineering,JEE,AI to AI,AI,6146
66,3891 (94.2940407),627224510,Computer Engineering,JEE,AI to AI,AI,6272
67,3895 (94.2940407),317624610,Information Technology,JEE,AI to AI,AI,3176
68,3926 (94.2438727),317424520,Computer Engineering,JEE,AI to AI,AI,3174
69,3946 (94.2349249),617537210,Electronics and Telecommunication,JEE,AI to AI,AI,6175
70,3977 (94.1870682),627424610,Information Technology,JEE,AI to AI,AI,6274
71,4107 (94.0615648),675424610,Information Technology,JEE,AI to AI,AI,6754
72,4154 (93.9958004),313924510,Computer Engineering,JEE,AI to AI,AI,3139
73,4164 (93.9934607),317424510,Computer Engineering,JEE,AI to AI,AI,3174
74,4343 (93.7342635),617537220,Electronics and Telecommunication,JEE,AI to AI,AI,6175
75,4401 (93.6510109),411529310,Electrical Engineering,JEE,AI to AI,AI,4115
76,4468 (93.5842638),627350710,Chemical Engineering,JEE,AI to AI,AI,6273
77,4721 (93.3085018),682224510,Computer Engineering,JEE,AI to AI,AI,6822
78,4781 (93.2317240),627224610,Information Technology,JEE,AI to AI,AI,6272
79,4822 (93.1852151),614624610,Information Technology,JEE,AI to AI,AI,6146
80,4830 (93.1704155),319761210,Mechanical Engineering,JEE,AI to AI,AI,3197
81,4860 (93.1328005),627637220F,Electronics and Telecommunication,JEE,AI to AI,AI,6276
82,4873 (93.1210747),617724510,Computer Engineering,JEE,AI to AI,AI,6177
83,4895 (93.1003228),319729310,Electrical Engineering,JEE,AI to AI,AI,3197
84,4960 (92.9967442),321424610,Information Technology,JEE,AI to AI,AI,3214
85,5064 (92.8654920),317424610,Information Technology,JEE,AI to AI,AI,3174
86,5076 (92.8627934),320937210,Electronics and Telecommunication,JEE,AI to AI,AI,3209
87,5104 (92.8454127),617724520,Computer Engineering,JEE,AI to AI,AI,6177
88,5377 (92.4720865),411519110,Civil Engineering,JEE,AI to AI,AI,4115
89,5470 (92.3982521),628224510,Computer Engineering,JEE,AI to AI,AI,6282
90,5490 (92.3948115),617561210,Mechanical Engineering,JEE,AI to AI,AI,6175
91,5540 (92.3185169),628937210,Electronics and Telecommunication,JEE,AI to AI,AI,6289
92,5553 (92.3144860),313524510,Computer Engineering,JEE,AI to AI,AI,3135
93,5578 (92.2762461),430524210,Computer Science and Engineering,JEE,AI to AI,AI,4305
94,5618 (92.2363677),319960610,Production Engineering,JEE,AI to AI,AI,3199
95,5635 (92.2304941),318461210,Mechanical Engineering,JEE,AI to AI,AI,3184
96,5690 (92.1614555),411519120,Civil Engineering,JEE,AI to AI,AI,4115
97,5856 (91.8955919),313924610,Information Technology,JEE,AI to AI,AI,3139
98,5968 (91.7978018),321437210,Electronics and Telecommunication,JEE,AI to AI,AI,3214
99,5975 (91.7784713),628224520,Computer Engineering,JEE,AI to AI,AI,6282
100,6113 (91.6625226),411537610,Electronics Engineering,JEE,AI to AI,AI,4115
101,6255 (91.4940393),320937610,Electronics Engineering,JEE,AI to AI,AI,3209
102,6291 (91.4454028),313524610,Information Technology,JEE,AI to AI,AI,3135
103,6316 (91.4060525),628937220,Electronics and Telecommunication,JEE,AI to AI,AI,
104,6392 (91.3397624),320424610,Information Technology,JEE,AI to AI,AI,
105,6415 (91.2984734),416725110,Computer Technology,JEE,AI to AI,AI,4167
106,6595 (91.1045105),613924510,Computer Engineering,JEE,AI to AI,AI,6139
107,6612 (91.0618548),411537620,Electronics Engineering,JEE,AI to AI,AI,4115
108,6667 (90.9833224),317661210,Mechanical Engineering,JEE,AI to AI,AI,3176
109,6716 (90.9573508),617724610,Information Technology,JEE,AI to AI,AI,6177
110,6764 (90.8935359),319062410,Mechatronics Engineering,JEE,AI to AI,AI,3190
111,6767 (90.8904383),213424210,Computer Science and Engineering,JEE,MH to AI,LOBCH,2134
112,6786 (90.8258832),416724610,Information Technology,JEE,AI to AI,AI,4167
113,6884 (90.7085580),320124510,Computer Engineering,JEE,AI to AI,AI,3201
114,7000 (90.5563463),628224610,Information Technology,JEE,AI to AI,AI,6282
115,7036 (90.5079476),680224510,Computer Engineering,JEE,AI to AI,AI,6802
116,7039 (90.5079476),318537210,Electronics and Telecommunication,JEE,AI to AI,AI,3185
117,7092 (90.4241126),620724610,Information Technology,JEE,AI to AI,AI,6207
118,7118 (90.4012134),675437210,Electronics and Telecommunication,JEE,AI to AI,AI,6754
119,7157 (90.3601927),627661210F,Mechanical Engineering,JEE,AI to AI,AI,6276
120,7188 (90.3248357),679624510,Computer Engineering,JEE,AI to AI,AI,6796
121,7232 (90.2567621),317637610,Electronics Engineering,JEE,AI to AI,AI,3176
122,7300 (90.1744592),318324510,Computer Engineering,JEE,AI to AI,AI,3183
123,7309 (90.1676885),317637210,Electronics and Telecommunication,JEE,AI to AI,AI,3176
124,7364 (90.0857311),628961210,Mechanical Engineering,JEE,AI to AI,AI,6289
125,7406 (90.0686344),627437210,Electronics and Telecommunication,JEE,AI to AI,AI,6274
126,7426 (90.0548473),411699710,Artificial Intelligence,JEE,AI to AI,AI,4116
127,7441 (90.0435635),628961220,Mechanical Engineering,JEE,AI to AI,AI,6289
128,7450 (90.0435635),319424510,Computer Engineering,JEE,AI to AI,AI,3194
129,7484 (89.9729588),613924520,Computer Engineering,JEE,AI to AI,AI,6139
130,7485 (89.9729588),621456810,Computer Science and Information,JEE,AI to AI,AI,6214
131,7553 (89.8782344),347519110,Civil Engineering,JEE,AI to AI,AI,3475
132,7572 (89.8215572),627261210,Mechanical Engineering,JEE,AI to AI,AI,6272
133,7595 (89.8100000),319024610,Information Technology,JEE,AI to AI,AI,
134,7742 (89.6752917),617519110,Civil Engineering,JEE,AI to AI,AI,
135,7767 (89.5825668),318924510,Computer Engineering,JEE,AI to AI,AI,
136,7918 (89.4266301),620724510,Computer Engineering,JEE,AI to AI,AI,
137,7950 (89.3946824),628124510,Computer Engineering,JEE,AI to AI,AI,
138,7973 (89.3728383),411535410,Electronics Design Technology,JEE,AI to AI,AI,
139,7980 (89.3667132),678161210,Mechanical Engineering,JEE,MH to AI,GNT2H,
140,7991 (89.3538894),111424210,Computer Science and Engineering,JEE,AI to AI,AI,
141,8032 (89.3035739),627461210,Mechanical Engineering,JEE,AI to AI,AI,
142,8059 (89.2617327),320724510,Computer Engineering,JEE,AI to AI,AI,
143,8061 (89.2617327),512124510,Computer Engineering,JEE,AI to AI,AI,
144,8070 (89.2530423),314824510,Computer Engineering,JEE,AI to AI,AI,
145,8107 (89.2102295),411624210,Computer Science and Engineering,JEE,AI to AI,AI,
146,8387 (88.9145335),627646610F,Instrumentation Engineering,JEE,AI to AI,AI,
147,8404 (88.9086194),411558910,Industrial Engineering,JEE,AI to AI,AI,
148,8441 (88.8326969),319024510,Computer Engineering,JEE,AI to AI,AI,
149,8540 (88.7207095),628124520,Computer Engineering,JEE,AI to AI,AI,
150,8546 (88.7207095),320324510,Computer Engineering,JEE,AI to AI,AI,
151,8608 (88.6122032),620724520,Computer Engineering,JEE,AI to AI,AI,
152,8633 (88.5866701),613924610,Information Technology,JEE,AI to AI,AI,
153,8649 (88.5832364),412325110,Computer Technology,JEE,AI to AI,AI,
154,8699 (88.4998736),613924620,Information Technology,JEE,AI to AI,AI,
155,8870 (88.2601547),319737210,Electronics and Telecommunication,JEE,AI to AI,AI,
156,8987 (88.0911582),541137210,Electronics and Telecommunication,JEE,MH to AI,GOPENO,
157,9070 (88.0200350),417424510,Computer Engineering,JEE,AI to AI,AI,
158,9080 (87.9867411),614637210,Electronics and Telecommunication,JEE,AI to AI,AI,
159,9103 (87.9608441),621424510,Computer Engineering,JEE,AI to AI,AI,
160,9124 (87.8944038),627237210,Electronics and Telecommunication,JEE,AI to AI,AI,
161,9194 (87.8161603),313561210,Mechanical Engineering,JEE,AI to AI,AI,
162,9290 (87.7647624),615624510,Computer Engineering,JEE,AI to AI,AI,
163,9318 (87.6956885),516024510,Computer Engineering,JEE,AI to AI,AI,
164,9326 (87.6956885),627837210,Electronics and Telecommunication,JEE,AI to AI,AI,
165,9400 (87.5904316),615624610,Information Technology,JEE,AI to AI,AI,
166,9583 (87.3762144),627346410,Instrumentation and Control ,JEE,AI to AI,AI,
167,9604 (87.3686396),317437210,Electronics and Telecommunication,JEE,AI to AI,AI,
168,9625 (87.3304786),617824520,Computer Engineering,JEE,AI to AI,AI,
169,9712 (87.2130147),682237210,Electronics and Telecommunication,JEE,AI to AI,AI,
170,9819 (87.0872834),512124610,Information Technology,JEE,AI to AI,AI,
171,9829 (87.0872834),110124210,Computer Science and Engineering,JEE,AI to AI,AI,
172,9864 (87.0281960),673224510,Computer Engineering,JEE,AI to AI,AI,
173,9915 (86.9521982),320161210,Mechanical Engineering,JEE,AI to AI,AI,
174,10026 (86.8644216),430519110,Civil Engineering,JEE,AI to AI,AI,
175,10122 (86.7444807),682261210,Mechanical Engineering,JEE,AI to AI,AI,
176,10265 (86.5644406),318537610,Electronics Engineering,JEE,AI to AI,AI,
177,10326 (86.4674574),320324610,Information Technology,JEE,AI to AI,AI,
178,10333 (86.4674574),628919110,Civil Engineering,JEE,AI to AI,AI,
179,10367 (86.4183531),626524210,Computer Science and Engineering,JEE,AI to AI,AI,
180,10400 (86.3720917),411624610,Information Technology,JEE,AI to AI,AI,
181,10475 (86.3308155),343924510,Computer Engineering,JEE,AI to AI,AI,
182,10548 (86.2280562),320724610,Information Technology,JEE,AI to AI,AI,
183,10577 (86.1702686),319424610,Information Technology,JEE,AI to AI,AI,
184,10645 (86.1068879),416737210,Electronics and Telecommunication,JEE,AI to AI,AI,
185,10799 (85.9169181),319024520,Computer Engineering,JEE,AI to AI,AI,
186,10835 (85.8647440),628524510F,Computer Engineering,JEE,AI to AI,AI,
187,10959 (85.7187973),627261220,Mechanical Engineering,JEE,AI to AI,AI,
188,10967 (85.6956558),617824510,Computer Engineering,JEE,AI to AI,AI,
189,11057 (85.5480515),313937210,Electronics and Telecommunication,JEE,AI to AI,AI,
190,11090 (85.5070605),622224210,Computer Science and Engineering,JEE,AI to AI,AI,
191,11147 (85.4710021),627861210,Mechanical Engineering,JEE,AI to AI,AI,
192,11173 (85.4067139),318324610,Information Technology,JEE,AI to AI,AI,
193,11182 (85.4067139),314824610,Information Technology,JEE,AI to AI,AI,
194,11335 (85.2844683),319624510,Computer Engineering,JEE,AI to AI,AI,
195,11343 (85.2760792),616024510,Computer Engineering,JEE,AI to AI,AI,
196,11371 (85.2518932),626724210,Computer Science and Engineering,JEE,AI to AI,AI,
197,11402 (85.1796930),411637210,Electronics and Telecommunication,JEE,AI to AI,AI,
198,11459 (85.0783326),318724510,Computer Engineering,JEE,AI to AI,AI,
199,11651 (84.8761340),416737610,Electronics Engineering,JEE,AI to AI,AI,
200,11752 (84.7838648),615524510,Computer Engineering,JEE,AI to AI,AI,
201,11838 (84.6887824),612224510,Computer Engineering,JEE,AI to AI,AI,
202,11893 (84.6607912),318924610,Information Technology,JEE,AI to AI,AI,
203,11933 (84.5603675),617624510,Computer Engineering,JEE,AI to AI,AI,
204,11999 (84.4757263),614137210,Electronics and Telecommunication,JEE,AI to AI,AI,
205,12032 (84.4629004),617824610,Information Technology,JEE,AI to AI,AI,
206,12054 (84.3981158),110124610,Information Technology,JEE,AI to AI,AI,
207,12057 (84.3981158),416719110,Civil Engineering,JEE,AI to AI,AI,
208,12153 (84.3292557),417424610,Information Technology,JEE,AI to AI,AI,
209,12181 (84.3036621),627829310,Electrical Engineering,JEE,AI to AI,AI,
210,12188 (84.3036621),318950710,Chemical Engineering,JEE,AI to AI,AI,
211,12218 (84.2340472),225024210,Computer Science and Engineering,JEE,MH to AI,LSEBCH,
212,12263 (84.1743309),614650710,Chemical Engineering,JEE,AI to AI,AI,
213,12429 (83.9847456),675524510,Computer Engineering,JEE,AI to AI,AI,
214,12462 (83.9686399),510824510,Computer Engineering,JEE,AI to AI,AI,
215,12556 (83.8535425),680237210,Electronics and Telecommunication,JEE,AI to AI,AI,
216,12588 (83.8185759),679637210,Electronics and Telecommunication,JEE,AI to AI,AI,
217,12644 (83.7846264),212724210,Computer Science and Engineering,JEE,AI to AI,AI,
218,12665 (83.7592407),321024510,Computer Engineering,JEE,AI to AI,AI,
219,12691 (83.7342987),213250710,Chemical Engineering,JEE,AI to AI,AI,
220,12694 (83.7204277),618224510,Computer Engineering,JEE,AI to AI,AI,
221,12782 (83.6034503),318246110,Bio Medical Engineering,JEE,AI to AI,AI,
222,12783 (83.6034503),110524210,Computer Science and Engineering,JEE,AI to AI,AI,
223,12791 (83.6034503),631024510,Computer Engineering,JEE,AI to AI,AI,
224,12939 (83.3941033),320461210,Mechanical Engineering,JEE,AI to AI,AI,
225,13030 (83.3394657),211361210,Mechanical Engineering,JEE,MH to AI,GNT1H,
226,13044 (83.3316377),517224510,Computer Engineering,JEE,AI to AI,AI,
227,13057 (83.3071048),614661210,Mechanical Engineering,JEE,AI to AI,AI,
228,13096 (83.1939980),627358910,Industrial Engineering,JEE,AI to AI,AI,
229,13107 (83.1608381),614619110,Civil Engineering,JEE,AI to AI,AI,
230,13160 (83.1115997),512129310,Electrical Engineering,JEE,AI to AI,AI,
231,13176 (83.1115997),320437210,Electronics and Telecommunication,JEE,AI to AI,AI,
232,13183 (83.1115997),628324210,Computer Science and Engineering,JEE,AI to AI,AI,
233,13210 (83.1099488),618724610,Information Technology,JEE,AI to AI,AI,
234,13286 (83.0635031),614524510,Computer Engineering,JEE,AI to AI,AI,
235,13319 (83.0572671),111650710,Chemical Engineering,JEE,MH to AI,LSTH,
236,13398 (82.9283858),516224510,Computer Engineering,JEE,AI to AI,AI,
237,13425 (82.9023871),618224520,Computer Engineering,JEE,AI to AI,AI,
238,13540 (82.7804409),617737210,Electronics and Telecommunication,JEE,AI to AI,AI,
239,13547 (82.7775962),317619110,Civil Engineering,JEE,AI to AI,AI,
240,13554 (82.7775962),321824610,Information Technology,JEE,AI to AI,AI,
241,13581 (82.7695609),319350710,Chemical Engineering,JEE,MH to AI,LNT2H,
242,13587 (82.7695609),318824510,Computer Engineering,JEE,AI to AI,AI,
243,13734 (82.6053591),516419110,Civil Engineering,JEE,MH to AI,LOPENH,
244,13759 (82.5677018),628237210,Electronics and Telecommunication,JEE,AI to AI,AI,
245,13784 (82.4659805),318724610,Information Technology,JEE,AI to AI,AI,
246,13825 (82.3973200),213224610,Information Technology,JEE,AI to AI,AI,
247,13932 (82.3558112),317437220,Electronics and Telecommunication,JEE,AI to AI,AI,
248,13954 (82.3309070),631024610,Information Technology,JEE,AI to AI,AI,
249,14079 (82.1712414),617624610,Information Technology,JEE,AI to AI,AI,
250,14087 (82.1712414),512137210,Electronics and Telecommunication,JEE,AI to AI,AI,
251,14124 (82.1074669),416761210,Mechanical Engineering,JEE,AI to AI,AI,
252,14188 (82.0455658),662029310,Electrical Engineering,JEE,MH to AI,GNT1H,
253,14200 (82.0022261),628524610F,Information Technology,JEE,AI to AI,AI,
254,14224 (82.0022261),627219110,Civil Engineering,JEE,AI to AI,AI,
255,14252 (81.9822613),319461220,Mechanical Engineering,JEE,AI to AI,AI,
256,14308 (81.8915844),627219120,Civil Engineering,JEE,AI to AI,AI,
257,14311 (81.8915844),613961210,Mechanical Engineering,JEE,AI to AI,AI,
258,14348 (81.8846400),628237220,Electronics and Telecommunication,JEE,AI to AI,AI,
259,14352 (81.7935868),627850710,Chemical Engineering,JEE,AI to AI,AI,
260,14403 (81.7554640),620319110,Civil Engineering,JEE,MH to AI,GNT2H,
261,14489 (81.7387047),317524610,Information Technology,JEE,AI to AI,AI,
262,14551 (81.7224220),682219110,Civil Engineering,JEE,AI to AI,AI,
263,14579 (81.6293688),313537210,Electronics and Telecommunication,JEE,AI to AI,AI,
264,14710 (81.4476374),614637610,Electronics Engineering,JEE,AI to AI,AI,
265,14758 (81.3809211),413724210,Computer Science and Engineering,JEE,AI to AI,AI,
266,14835 (81.3320931),516224610,Information Technology,JEE,AI to AI,AI,
267,14893 (81.2892739),110524220,Computer Science and Engineering,JEE,AI to AI,AI,
268,14924 (81.2508742),314624510,Computer Engineering,JEE,AI to AI,AI,
269,15012 (81.0768681),617737220,Electronics and Telecommunication,JEE,AI to AI,AI,
270,15139 (80.9630147),411637610,Electronics Engineering,JEE,AI to AI,AI,
271,15170 (80.9594190),628424510,Computer Engineering,JEE,AI to AI,AI,
272,15180 (80.9594190),626737210,Electronics and Telecommunication,JEE,AI to AI,AI,
273,15357 (80.8059455),613937210,Electronics and Telecommunication,JEE,AI to AI,AI,
274,15369 (80.7502053),464924510,Computer Engineering,JEE,AI to AI,AI,
275,15405 (80.7265899),320337210,Electronics and Telecommunication,JEE,AI to AI,AI,
276,15445 (80.7265899),318824610,Information Technology,JEE,AI to AI,AI,
277,15482 (80.5784932),414224210,Computer Science and Engineering,JEE,AI to AI,AI,
278,15499 (80.5784932),417437210,Electronics and Telecommunication,JEE,AI to AI,AI,
279,15501 (80.5784932),621429310,Electrical Engineering,JEE,AI to AI,AI,
280,15763 (80.4220697),680261210,Mechanical Engineering,JEE,AI to AI,AI,
281,15782 (80.4220697),679661210,Mechanical Engineering,JEE,MH to AI,LOPENO,
282,15830 (80.2769618),417824610,Information Technology,JEE,MH to AI,LSTO,
283,15911 (80.1274172),346024510,Computer Engineering,JEE,AI to AI,AI,
284,16025 (80.0774620),677224510,Computer Engineering,JEE,AI to AI,AI,
285,16072 (80.0458500),628137210,Electronics and Telecommunication,JEE,AI to AI,AI,
286,16090 (79.9543749),513924610,Information Technology,JEE,AI to AI,AI,
287,16121 (79.9193943),680261220,Mechanical Engineering,JEE,AI to AI,AI,
288,16155 (79.8738274),630724510,Computer Engineering,JEE,AI to AI,AI,
289,16178 (79.8253803),621437210,Electronics and Telecommunication,JEE,AI to AI,AI,
290,16215 (79.7749477),512150710,Chemical Engineering,JEE,AI to AI,AI,
291,16257 (79.7097696),321024610,Information Technology,JEE,AI to AI,AI,
292,16400 (79.5963798),512161210,Mechanical Engineering,JEE,AI to AI,AI,
293,16413 (79.5963798),111461210,Mechanical Engineering,JEE,AI to AI,AI,
294,16416 (79.5963798),516261210,Mechanical Engineering,JEE,AI to AI,AI,
295,16439 (79.5963798),617924510,Computer Engineering,JEE,AI to AI,AI,
296,16472 (79.4843256),416324210,Computer Science and Engineering,JEE,MH to AI,GVJH,
297,16509 (79.3834802),679661210,Mechanical Engineering,JEE,MH to AI,LSEBCH,
298,16540 (79.3666149),626729310,Electrical Engineering,JEE,AI to AI,AI,
299,16685 (79.2914987),664924510,Computer Engineering,JEE,AI to AI,AI,
300,16741 (79.2829359),615637210,Electronics and Telecommunication,JEE,AI to AI,AI,
301,16803 (79.2232776),618724520,Computer Engineering,JEE,AI to AI,AI,
302,16811 (79.2137792),632324510,Computer Engineering,JEE,AI to AI,AI,
303,16844 (79.2137792),680250710,Chemical Engineering,JEE,AI to AI,AI,
304,16846 (79.2137792),213219110,Civil Engineering,JEE,AI to AI,AI,
305,16901 (79.1887831),416324210,Computer Science and Engineering,JEE,MH to AI,GSEBCH,
306,16948 (78.9839208),621419110,Civil Engineering,JEE,AI to AI,AI,
307,16959 (78.9839208),513924510,Computer Engineering,JEE,AI to AI,AI,
308,16967 (78.9839208),628229310,Electrical Engineering,JEE,AI to AI,AI,
309,17079 (78.8651431),512119110,Civil Engineering,JEE,AI to AI,AI,
310,17128 (78.7921705),313937610,Electronics Engineering,JEE,AI to AI,AI,
311,17133 (78.7802227),676924510,Computer Engineering,JEE,AI to AI,AI,
312,17253 (78.7114333),512119120,Civil Engineering,JEE,AI to AI,AI,
313,17270 (78.7114333),512161220,Mechanical Engineering,JEE,AI to AI,AI,
314,17350 (78.6694102),628300210,Aeronautical Engineering,JEE,AI to AI,AI,
315,17389 (78.5300278),315424510,Computer Engineering,JEE,AI to AI,AI,
316,17523 (78.3565946),618724510,Computer Engineering,JEE,AI to AI,AI,
317,17533 (78.3565946),516219110,Civil Engineering,JEE,AI to AI,AI,
318,17636 (78.2901187),614119110,Civil Engineering,JEE,AI to AI,AI,
319,17668 (78.2563292),621461210,Mechanical Engineering,JEE,AI to AI,AI,
320,17689 (78.2288161),319224510,Computer Engineering,JEE,AI to AI,AI,
321,17691 (78.2288161),677224610,Information Technology,JEE,AI to AI,AI,
322,17731 (78.2174869),618737210,Electronics and Telecommunication,JEE,MH to AI,GNT1H,
323,17782 (78.1624291),510824610,Information Technology,JEE,AI to AI,AI,
324,17813 (78.0711815),614524610,Information Technology,JEE,AI to AI,AI,
325,17814 (78.0711815),317524510,Computer Engineering,JEE,AI to AI,AI,
326,17829 (78.0604059),615524610,Information Technology,JEE,AI to AI,AI,
327,17960 (77.8457909),314624610,Information Technology,JEE,AI to AI,AI,
328,18069 (77.7653702),660924510,Computer Engineering,JEE,AI to AI,AI,
329,18109 (77.7630738),110137210,Electronics and Telecommunication,JEE,AI to AI,AI,
330,18276 (77.5871477),510319110,Civil Engineering,JEE,AI to AI,AI,
331,18312 (77.5847024),662224510,Computer Engineering,JEE,AI to AI,AI,
332,18317 (77.5847024),620737210,Electronics and Telecommunication,JEE,AI to AI,AI,
333,18378 (77.4781073),322224510,Computer Engineering,JEE,MH to AI,GOPENO,
334,18499 (77.3515747),320737210,Electronics and Telecommunication,JEE,AI to AI,AI,
335,18623 (77.1970440),515224210,Computer Science and Engineering,JEE,AI to AI,AI,
336,18659 (77.1970440),620624510,Computer Engineering,JEE,AI to AI,AI,
337,18663 (77.1970440),417229310,Electrical Engineering,JEE,MH to AI,LOPENO,
338,18715 (76.9206711),620729310,Electrical Engineering,JEE,AI to AI,AI,
339,18780 (76.8876483),617629310,Electrical Engineering,JEE,MH to AI,LOPENO,
340,18781 (76.8876483),516037210,Electronics and Telecommunication,JEE,AI to AI,AI,
341,18798 (76.8876483),614561210,Mechanical Engineering,JEE,AI to AI,AI,
342,18810 (76.8692335),516229310,Electrical Engineering,JEE,AI to AI,AI,
343,18816 (76.8692335),510837210,Electronics and Telecommunication,JEE,AI to AI,AI,
344,18934 (76.8093749),617750710,Chemical Engineering,JEE,AI to AI,AI,
345,18938 (76.7917634),321224510,Computer Engineering,JEE,AI to AI,AI,
346,19014 (76.7607424),620624610,Information Technology,JEE,AI to AI,AI,
347,19038 (76.7536735),515124510,Computer Engineering,JEE,AI to AI,AI,
348,19041 (76.7536735),614161210,Mechanical Engineering,JEE,AI to AI,AI,
349,19049 (76.7404490),518124510,Computer Engineering,JEE,AI to AI,AI,
350,19058 (76.7404490),617760610,Production Engineering,JEE,AI to AI,AI,
351,19089 (76.6304807),626719110,Civil Engineering,JEE,AI to AI,AI,
352,19143 (76.5372965),344524510,Computer Engineering,JEE,MH to AI,GNT3H,
353,19154 (76.5372965),319361210,Mechanical Engineering,JEE,MH to AI,GNT1H,
354,19155 (76.5372965),622288610,Man Made Textile Technology,JEE,AI to AI,AI,
355,19285 (76.3616539),626850710,Chemical Engineering,JEE,AI to AI,AI,
356,19356 (76.2553619),630761210,Mechanical Engineering,JEE,AI to AI,AI,
357,19362 (76.2138214),631124610,Information Technology,JEE,AI to AI,AI,
358,19433 (76.1877781),629824510,Computer Engineering,JEE,AI to AI,AI,
359,19511 (76.1143255),632324610,Information Technology,JEE,AI to AI,AI,
360,19571 (76.0137989),315424610,Information Technology,JEE,AI to AI,AI,
361,19584 (76.0137989),628424610,Information Technology,JEE,AI to AI,AI,
362,19613 (75.9795601),613961220,Mechanical Engineering,JEE,AI to AI,AI,
363,19677 (75.9795601),512129320,Electrical Engineering,JEE,AI to AI,AI,
364,19688 (75.9750650),516061210,Mechanical Engineering,JEE,AI to AI,AI,
365,19732 (75.8260642),211424210,Computer Science and Engineering,JEE,AI to AI,AI,
366,19791 (75.7488364),627819110,Civil Engineering,JEE,AI to AI,AI,
367,19800 (75.7488364),626761210,Mechanical Engineering,JEE,AI to AI,AI,
368,19802 (75.6825373),347124510,Computer Engineering,JEE,AI to AI,AI,
369,19873 (75.6825373),680219110,Civil Engineering,JEE,AI to AI,AI,
370,19931 (75.6364165),516161210,Mechanical Engineering,JEE,AI to AI,AI,
371,19996 (75.6093131),618224610,Information Technology,JEE,AI to AI,AI,
372,20027 (75.6093131),110135610,Electrical Engg[Electronics and Power],JEE,AI to AI,AI,
373,20045 (75.5986035),320061210,Mechanical Engineering,JEE,MH to AI,GSCO,
374,20050 (75.5986035),321924510,Computer Engineering,JEE,AI to AI,AI,
375,20069 (75.5688972),318337210,Electronics and Telecommunication,JEE,AI to AI,AI,
376,20201 (75.4742933),676819110,Civil Engineering,JEE,AI to AI,AI,
377,20213 (75.4742933),110161210,Mechanical Engineering,JEE,AI to AI,AI,
378,20238 (75.4537134),662024510,Computer Engineering,JEE,AI to AI,AI,
379,20255 (75.4537134),620324510,Computer Engineering,JEE,AI to AI,AI,
