"Institute_Code";"ChoiceCode";"CourseName";"Exam";"CutoffRank";"CutoffScore"
6273;"627361210";"Mechanical Engineering";"JEE";4029;91.0884
6278;"627824520";"Computer Engineering";"JEE";4048;91.0856
6177;"617724510";"Computer Engineering";"JEE";4102;90.9952
6175;"617537220";"Electronics and Telecommunication
Engg";"JEE";4172;90.8287
4167;"416724210";"Computer Science and Engineering";"JEE";4381;90.4932
6273;"627361220";"Mechanical Engineering";"JEE";4432;90.459
6139;"613924510";"Computer Engineering";"JEE";4448;90.3786
3189;"318924510";"Computer Engineering";"JEE";4458;90.3765
3208;"320824610";"Information Technology";"JEE";4472;90.3765
6272;"627224610";"Information Technology";"JEE";4480;90.3716
3214;"321424610";"Information Technology";"JEE";4498;90.3672
3135;"313524510";"Computer Engineering";"JEE";4559;90.2371
6177;"617724520";"Computer Engineering";"JEE";4685;90.0166
3139;"313924610";"Information Technology";"JEE";4719;89.9667
3201;"320124510";"Computer Engineering";"JEE";4740;89.9667
3185;"318537210";"Electronics and Telecommunication
Engg";"JEE";4764;89.9572
3214;"321437210";"Electronics and Telecommunication
Engg";"JEE";4779;89.9572
6282;"628224510";"Computer Engineering";"JEE";4822;89.8783
6276;"627637210F";"Electronics and Telecommunication
Engg";"JEE";4928;89.7057
3211;"321124510";"Computer Engineering";"JEE";4930;89.7057
5121;"512124510";"Computer Engineering";"JEE";5002;89.6437
4115;"411519110";"Civil Engineering";"JEE";5067;89.4732
6289;"628937210";"Electronics and Telecommunication
Engg";"JEE";5100;89.4715
3204;"320461210";"Mechanical Engineering";"JEE";5261;89.2094
6802;"680224510";"Computer Engineering";"JEE";5270;89.2092
4115;"411519120";"Civil Engineering";"JEE";5306;89.1794
6207;"620724510";"Computer Engineering";"JEE";5308;89.1794
3176;"317637210";"Electronics and Telecommunication
Engg";"JEE";5340;89.1464
3211;"321124610";"Information Technology";"JEE";5369;89.1102
4116;"411624210";"Computer Science and Engineering";"JEE";5409;88.9592
3207;"320724510";"Computer Engineering";"JEE";5475;88.9034
6282;"628224520";"Computer Engineering";"JEE";5542;88.8569
6265;"626524210";"Computer Science and Engineering";"JEE";5614;88.6609
6207;"620724520";"Computer Engineering";"JEE";5705;88.5707
6139;"613924520";"Computer Engineering";"JEE";5745;88.5201
6175;"617519110";"Civil Engineering";"JEE";5877;88.2592
3135;"313524610";"Information Technology";"JEE";5917;88.2293
3204;"320424610";"Information Technology";"JEE";5946;88.2289
6175;"617561210";"Mechanical Engineering";"JEE";6030;88.0909
6177;"617724610";"Information Technology";"JEE";6033;88.0909
3423;"342324510";"Computer Engineering";"JEE";6048;88.0378
5121;"512124610";"Information Technology";"JEE";6128;87.9272
6276;"627637220F";"Electronics and Telecommunication
Engg";"JEE";6133;87.8975
4115;"411558910";"Industrial Engineering";"JEE";6142;87.8975
6141;"614124610";"Information Technology";"JEE";6181;87.856
3176;"317661210";"Mechanical Engineering";"JEE";6228;87.781
1101;"110124210";"Computer Science and Engineering";"JEE";6253;87.781
3475;"347524510";"Computer Engineering";"JEE";6324;87.6522
6207;"620724610";"Information Technology";"JEE";6458;87.4924
6155;"615524510";"Computer Engineering";"JEE";6507;87.3354
6175;"617561220";"Mechanical Engineering";"JEE";6509;87.3354
6281;"628124510";"Computer Engineering";"JEE";6531;87.3175
6282;"628224610";"Information Technology";"JEE";6647;87.2216
6176;"617624510";"Computer Engineering";"JEE";6648;87.2216
3176;"317637610";"Electronics Engineering";"JEE";6672;87.209
3185;"318537610";"Electronics Engineering";"JEE";6686;87.1605
6156;"615624510";"Computer Engineering";"JEE";6838;86.8922
4116;"411699710";"Artificial Intelligence";"JEE";7009;86.5792
6281;"628124520";"Computer Engineering";"JEE";7026;86.5792
3183;"318324610";"Information Technology";"JEE";7137;86.4766
3189;"318924610";"Information Technology";"JEE";7176;86.4354
6285;"628524510F";"Computer Engineering";"JEE";7236;86.3335
3203;"320324510";"Computer Engineering";"JEE";7242;86.3335
6139;"613924610";"Information Technology";"JEE";7282;86.2235
4142;"414224210";"Computer Science and Engineering";"JEE";7298;86.2235
6754;"675437210";"Electronics and Telecommunication
Engg";"JEE";7330;86.1693
3207;"320724610";"Information Technology";"JEE";7332;86.1693
6214;"621424510";"Computer Engineering";"JEE";7448;86.0316
3148;"314824510";"Computer Engineering";"JEE";7455;86.0316
6155;"615524610";"Information Technology";"JEE";7541;85.8992
6265;"626524610";"Information Technology";"JEE";7582;85.8301
3187;"318724510";"Computer Engineering";"JEE";7661;85.787
3194;"319424510";"Computer Engineering";"JEE";7672;85.7445
6176;"617624610";"Information Technology";"JEE";7686;85.6841
3176;"317619110";"Civil Engineering";"JEE";7743;85.6296
3197;"319729310";"Electrical Engineering";"JEE";7835;85.4369
6214;"621456810";"Computer Science and Information
Technology";"JEE";7947;85.4059
2250;"225024210";"Computer Science and Engineering";"JEE";7970;85.3778
6139;"613924620";"Information Technology";"JEE";8086;85.1085
4167;"416724610";"Information Technology";"JEE";8113;85.0622
6822;"682237210";"Electronics and Telecommunication
Engg";"JEE";8127;85.0622
3197;"319761210";"Mechanical Engineering";"JEE";8177;85.0129
4167;"416725110";"Computer Technology";"JEE";8204;85.0129
6145;"614524510";"Computer Engineering";"JEE";8316;84.8392
6178;"617824510";"Computer Engineering";"JEE";8365;84.8354
6272;"627299510";"Artificial Intelligence and Data Science";"JEE";8496;84.5899
6284;"628424510";"Computer Engineering";"JEE";8631;84.476
6267;"626724210";"Computer Science and Engineering";"JEE";8656;84.476
4116;"411624610";"Information Technology";"JEE";8755;84.3041
6146;"614637210";"Electronics and Telecommunication
Engg";"JEE";8773;84.3041
3190;"319024510";"Computer Engineering";"JEE";8779;84.3041
6178;"617824520";"Computer Engineering";"JEE";8836;84.1854
6156;"615624610";"Information Technology";"JEE";8875;84.1363
4174;"417424610";"Information Technology";"JEE";8881;84.1363
6160;"616024510";"Computer Engineering";"JEE";8967;83.9531
6207;"620799510";"Artificial Intelligence and Data Science";"JEE";9050;83.7701
4174;"417424510";"Computer Engineering";"JEE";9072;83.7592
3423;"342324610";"Information Technology";"JEE";9090;83.7592
