Institute_Code,Institute_Name,City,Status,Total_Intake
3198,Konkan Gyanpeeth College of Engineering,Karjat,Un-Aided,300
3199,Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering,Mumbai,Un-Aided,1020
3200,Hope Foundation and research center's Finolex Academy of Management and Technology,Ratnagiri,Un-Aided,360
3201,Rizvi Education Society's Rizvi College of Engineering,Mumbai,Un-Aided,360
3202,Rajendra Mane College of Engineering & Technology ,Ambav,Un-Aided,180
3203,Atharva College of Engineering,Mumbai,Un-Aided,480
3204,St. Francis Institute of Technology,Mumbai,Un-Aided,540
3206,S.S.P.M.'s College of Engineering,Kankavli,Un-Aided,270
3207,Mahatma Education Society's Pillai College of Engineering,New Panvel,"Un-Aided, ",630
3208,Don Bosco Institute of Technology,Mumbai,Un-Aided,300
3209,K J Somaiya Institute of Technology,Mumbai,"Un-Aided, ",480
3210,Excelsior Education Society's K.C. College of Engineering and Management Studies and Research,Thane (E),Un-Aided,240
3211,S.I.E.S. Graduate School of Technology,Navi Mumbai,Un-Aided,540
3212,WATUMULL INSTITUTE OF ELECTRONICS ENGINEERING & COMPUTER TECHNOLOGY,ULHASNAGAR,Un-Aided,180
3214,Xavier Institute Of Engineering C/O Xavier Technical Institute,Mumbai,Un-Aided,240
3215,Bhartiya Vidya Bhavan's Sardar Patel Institute of Technology,Mumbai,Un-Aided,480
3216,Gharda Foundation's Gharda Institute of Technology,Ratnagiri,Un-Aided,300
3217,Vighnaharata Trust's Shivajirao S. Jondhale College of Engineering & Technology,Dist Thane,Un-Aided,300
3218,Aldel Education Trust's St. John College of Engineering & Management,Palghar,Un-Aided,420
3219,Koti Vidya Charitable Trust's Smt. Alamuri Ratnamala Institute of Engineering and Technology,Tal. Shahapur,Un-Aided,420
3220,Yadavrao Tasgaonkar College of Engineering & Management,KARJAT,Un-Aided,294
3221,Late Shri. Vishnu Waman Thakur Charitable Trust,Shirgaon,Un-Aided,420
3222,Haji Jamaluddin Thim Trust's Theem College of Engineering,Boisar,Un-Aided,360
3223,Mahatma Education Society's Pillai HOC College of Engineering & Technology,Tal. Khalapur. Dist. Raigad,Un-Aided,540
3224,Leela Education Society,Karjat,Un-Aided,270
3277,Shree Shankar Narayan Education Trust,Bhayinder (E) Western Rly,Un-Aided,360
3351,Bharat College of Engineering,Badlapur(W),Un-Aided,210
3353,Dilkap Research Institute Of Engineering and Management Studies,Mumbai,Un-Aided,360
3423,Shree L.R. Tiwari College of Engineering,Mumbai,Un-Aided,540
